변환관리코드,원코드,내품나누기,소분규격,소분상품명
FH6-19-20,19-20,4.0,400g*6,삼포 황도슬라이스400g 6개
FH6-14-13-01,14-13-01,4.0,400g*6,강구나루 황도슬라이스400g 6개
FH6-14-13,14-13,4.0,400g*6,강구나루 고등어 400g 6개
FH6-14-12,14-12,4.0,400g*6,강구나루 꽁치400g 6개
FH6-14-10,14-10,4.0,400g*6,펭귄 황도슬라이스400g 6개
FH6-14-02-02,14-02-02,4.0,400g*6,펭귄 고등어 400g 6개
FH6-14-01,14-01,4.0,400g*6,펭귄 한마리꽁치400g 6개
FH6-11-17,11-17,4.0,400g*6,동원 골뱅이400g 6개
FH6-10-08-02,10-08-02,4.0,400g*6,유동 황도슬라이스400g 6개
FH6-10-04,10-04,4.0,400g*6,유동 꽁치400g 6개
FH6-10-00,10-00,4.0,400g*6,유동 골뱅이400g 6개
KL600G12EA-01-18,01-18,3.0,600g*4,콘푸로스트 600g 4개
KRPY1EA-67-73,67-73,8.0,500g*1,우기곡물 크리스피롤23 크림치즈 500g 1개
KRPY1EA-67-73-01,67-73-01,8.0,500g*1,우기곡물 크리스피롤23 인절미 500g 1개
MGG1EA-67-74,67-74,16.0,500g*1,명가 꽈배기 참깨 500g 1개
MGG1EA-67-74-01,67-74-01,16.0,500g*1,명가 꽈배기 흑당 500g 1개
NRG1EA-66-07,66-07,10.0,270g*1,선푸드 검은깨 쌀 누룽지칩 270g 1개
GNRG1EA-66-01,66-01,20.0,180g*1,
GNRG1EA-66-01-01,66-01-01,20.0,180g*1,
BT15EA-25-59-03,25-59-03,6.0,15병*1곽,여명808(신형) 15개 1곽
BT10EA-25-273,25-273,10.0,10병*1곽,광동 생강쌍화 120ml 10개 1곽
BT10EA-25-40-02,25-40-02,6.0,10병*1곽,삼성 까스명수 75ml 10개 1곽
BT10EA-20-10,20-10,10.0,10병*1곽,광동 쌍화골드 100ml 10개 1곽
BT10EA-20-04,20-04,10.0,10병*1곽,광동 비타500 100ml 10개 1곽
BT10EA-28-06,28-06,10.0,10병*1곽,화이브 미니 100ml 10개 1곽
BT10EA-28-50,28-50,10.0,10병*1곽,미에로 병 100ml 10개 1곽
BT10EA-38-09-03,38-09-03,6.0,10병*1곽,동화 까스활 75ml 10개 1곽
BT10EA-20-12-01,20-12-01,10.0,10병*1곽,광동 위생천 75ml 10개 1곽
BT10EA-28-13,28-13,10.0,10병*1곽,헬씨올리고 100ml 10개 1곽
BT10EA-28-13-05,28-13-05,10.0,10병*1곽,비타업 100ml 10개 1곽
BT10EA-55-09,55-09,10.0,10병*1곽,홍삼진병 100ml 10개 1곽
BT10EA-55-01-02,55-01-02,5.0,10병*1곽,헛개 컨디션 120ml 10개 1곽
BT10EA-55-01,55-01,5.0,10병*1곽,헛개 컨디션 100ml 10개 1곽
BT10EA-81-40,81-40,5.0,10병*1곽,동아 모닝케어 D 100ml 10개 1곽
PJ8EA-20-13-04,20-13-04,5.0,8입*1곽,피크닉 젤리 45g 8개 1곽
PJ8EA-20-13-03,20-13-03,5.0,8입*1곽,피크닉 청포도 45g 8개 1곽
PJ8EA-20-13-02,20-13-02,5.0,8입*1곽,피크닉 사과 45g 8개 1곽
MMC1EA-65-53,65-53,8.0,160g*1,푸드킹 메밀칩 양파맛
MMC1EA-65-53-01,65-53-01,10.0,160g*1,푸드킹 메밀칩 대파맛
MMC1EA-65-53-02,65-53-02,8.0,160g*1,
MGG1EA-48-34,48-34,18.0,440g*1,NINE 야채크래커
IMADE10EA-48-69,48-69,10.0,10입* 1곽,
IMADE10EA-48-69-01,48-69-01,10.0,10입* 1곽,
IMADE10EA-48-69-02,48-69-02,10.0,10입* 1곽,
IMADE10EA-48-69-03,48-69-03,10.0,10입* 1곽,
IMADE10EA-48-69-04,48-69-04,10.0,10입* 1곽,
IMADE10EA-48-69-05,48-69-05,10.0,10입* 1곽,
TR1EA-62-39-03,62-39-03,20.0,77g*1,
TR1EA-62-39-02,62-39-02,20.0,77g*1,
TR1EA-62-39,62-39,20.0,77g*1,
TR1EA-62-39-01,62-39-01,20.0,77g*1,
