상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
13543529741,PC005041,부천 몽고 진간장 13L 1개,23400.0,0.0,3000.0,0.0,0.0,,,
13543529740,PC004429,미드봉 바질 홀 150g 1개,3400.0,0.0,3000.0,300.0,0.0,,,
13543529739,PC005245,롯데 환만식초 말통 15L 1개,18400.0,0.0,3000.0,1500.0,0.0,,,
13543529737,PC004949,명진 혼다시 다시노모도 1kg 1개,8900.0,0.0,3000.0,0.0,0.0,,,
13543529736,PC004319,아담스 파마산 치즈가루 1kg 1개,11100.0,0.0,3000.0,0.0,0.0,,,
13543529735,PC004648,곰표 부침가루 1kg 1개,2000.0,0.0,3000.0,300.0,0.0,,,
13543529734,PC004605,곰표 튀김가루 1kg 1개,2100.0,0.0,3000.0,300.0,0.0,,,
13543529733,PC004313,백설 맛소금 1kg 1개,3100.0,0.0,3000.0,0.0,0.0,,,
13543529732,PC004903,리고 땅콩잼 1kg 1개,8100.0,0.0,3000.0,0.0,0.0,,,
13543529728,PC005239,이금기 중화 두반장 캔 2.04kg 1개,24200.0,0.0,3000.0,0.0,0.0,,,
13543529727,PC005247,이금기 팬더 굴소스 캔 2.27kg 1개,12200.0,0.0,3000.0,0.0,0.0,,,
13543529726,PC005757,화남 스위트 잡화꿀청 2.4kg 1개,4900.0,0.0,3000.0,0.0,0.0,,,
13543529725,PC005756,화남 스위트 아카시아꿀청 2.4kg 1개,4900.0,0.0,3000.0,0.0,0.0,,,
13543529724,PC004344,정성 잡화청 2.4kg 1개,5000.0,0.0,3000.0,0.0,0.0,,,
13543529723,PC004453,정성 아카시아청 2.4kg 1개,5000.0,0.0,3000.0,0.0,0.0,,,
13543529722,PC004857,롱고바디 토마토홀 2.55kg 1개,6800.0,0.0,3000.0,0.0,0.0,,,
13543529611,PC004297,삼아 키드니빈스 2.5kg 1개,6400.0,0.0,3000.0,0.0,0.0,,,
13543529610,PC004296,삼아 베이크드빈스 2.6kg 1개,5700.0,0.0,3000.0,0.0,0.0,,,
13543529608,PC004937,명진 양송이 슬라이스 2.84kg 1개,8600.0,0.0,3000.0,0.0,0.0,,,
13543529606,PC004292,삼아 황도 슬라이스 2.9kg 1개,8600.0,0.0,3000.0,0.0,0.0,,,
13543529605,PC004317,신영 페페로치노 홀 200g 1개,21600.0,0.0,3000.0,0.0,0.0,,,
13543529604,PC004425,미드봉 파슬리 후레이크 200g 1개,5000.0,0.0,3000.0,0.0,0.0,,,
13543529602,PC005182,엘막 레몬 원액 200ml 1개,1500.0,0.0,3000.0,300.0,0.0,,,
13543529601,PC005253,이금기 프리미엄 굴소스 캔 2268g 1개,24200.0,0.0,3000.0,0.0,0.0,,,
13543529599,PC005329,제니스 스테이크소스 260g 1개,3200.0,0.0,3000.0,300.0,0.0,,,
13543529597,PC004295,삼아 밤 감로자 홀 2950g 1개,22500.0,0.0,3000.0,0.0,0.0,,,
13543529593,PC005713,백설 쇠고기 다시다 2kg 1개,32200.0,0.0,3000.0,0.0,0.0,,,
13543529592,PC004342,화남 고흥 꿀유자차 2kg 1개,9000.0,0.0,3000.0,0.0,0.0,,,
13543529590,PC004718,헌트 토마토 페이스트 3.15kg 1개,19600.0,0.0,3000.0,300.0,0.0,,,
13543529589,PC005708,모어하우스 머스타드(대) 3.628kg 1개,12100.0,0.0,3000.0,500.0,0.0,,,
13543529588,PC004738,S&W 파인애플 슬라이스 청크 3.63kg 1개,10500.0,0.0,3000.0,0.0,0.0,,,
13543529383,PC002105,목우촌 뚝심 X 1개,3200.0,0.0,3000.0,300.0,0.0,,,
13543529382,PC002758,델몬트 파인애플 통조림 3050g 1개,12100.0,0.0,3000.0,0.0,0.0,,,
13543529381,PC004308,미드봉 크러쉬드 레드페퍼 340g 1개,8400.0,0.0,3000.0,0.0,0.0,,,
13543529380,PC004739,S&W 파인애플 슬라이스 3kg 1개,10400.0,0.0,3000.0,0.0,0.0,,,
13543529379,PC004813,늘푸른 오이피클 홀 3kg 1개,9400.0,0.0,3000.0,0.0,0.0,,,
13543529378,PC004869,델솔 할라피뇨 페퍼 슬라이스 3kg 1개,11800.0,0.0,3000.0,0.0,0.0,,,
13543529377,PC004929,명진 표고버섯 홀 3kg 1개,5300.0,0.0,3000.0,0.0,0.0,,,
13543529375,PC004931,명진 초고버섯(대) 3kg 1개,10000.0,0.0,3000.0,0.0,0.0,,,
13543529374,PC004935,명진 양송이 특편 3kg 1개,8200.0,0.0,3000.0,0.0,0.0,,,
13543529373,PC004946,명진 죽순 채 3kg 1개,4300.0,0.0,3000.0,0.0,0.0,,,
13543529372,PC004947,명진 죽순 편 3kg 1개,4300.0,0.0,3000.0,0.0,0.0,,,
13543529371,PC004948,명진 죽순 홀 3kg 1개,4300.0,0.0,3000.0,0.0,0.0,,,
13543529370,PC005159,신세계 아삭한 오이피클 3kg 1개,6300.0,0.0,3000.0,0.0,0.0,,,
13543529369,PC005415,진양 죽순 1호 3kg 1개,12900.0,0.0,3000.0,0.0,0.0,,,
13543529368,PC005562,해마루 오이피클 슬라이스 3kg 1개,6700.0,0.0,3000.0,300.0,0.0,,,
13543529367,PC004559,하인즈 데미그라스 소스 3kg 1개,21600.0,0.0,3000.0,0.0,0.0,,,
13543529366,PC004562,하인즈 비프 스파게티소스 3kg 1개,19800.0,0.0,3000.0,0.0,0.0,,,
13543529364,PC005715,삼도 해울찬 락교 SSS 3kg 1개,10800.0,0.0,3000.0,0.0,0.0,,,
13543529287,PC004337,삼도 해울찬 락교 3kg 1개,10800.0,0.0,3000.0,0.0,0.0,,,
13543529286,PC004294,삼아 완두콩 3kg 1개,5000.0,0.0,3000.0,0.0,0.0,,,
13543529285,PC005183,DOLE 후르츠칵테일 3kg 1개,9000.0,0.0,3000.0,0.0,0.0,,,
13543529284,PC005201,DOLE 파인애플 청크 3kg 1개,11300.0,0.0,3000.0,0.0,0.0,,,
13543529283,PC000041,화남 황도 슬라이스 3kg 1개,8300.0,0.0,3000.0,0.0,0.0,,,
13543529282,PC005525,화남 밀감 통조림 1호 3kg 1개,9600.0,0.0,3000.0,0.0,0.0,,,
13543529280,PC005698,미드봉 흑후추 원두 400g 1개,7500.0,0.0,3000.0,0.0,0.0,,,
13543529278,PC005697,미드봉 굵은후추 400g 1개,9200.0,0.0,3000.0,0.0,0.0,,,
13543529277,PC004435,미드봉 흑후추(90%) 400g 1개,5800.0,0.0,3000.0,0.0,0.0,,,
13543529276,PC005416,진양 죽순 4호 400g 1개,2900.0,0.0,3000.0,300.0,0.0,,,
13543529274,PC004293,삼아 키드니빈스 400g 1개,1600.0,0.0,3000.0,300.0,0.0,,,
13543529271,PC004850,라폰테 스파게티 500g 1개,1600.0,0.0,3000.0,300.0,0.0,,,
13543529270,PC004852,라폰테 마카로니 500g 1개,1600.0,0.0,3000.0,300.0,0.0,,,
13543529269,PC005759,데체코 스파게티니 11호 500g 1개,3900.0,0.0,3000.0,0.0,0.0,,,
13543529268,PC004306,대봉 삼색 푸실리 500g 1개,1900.0,0.0,3000.0,300.0,0.0,,,
13543529266,PC005101,상기 쌍노두 소스 500ml 1개,4600.0,0.0,3000.0,0.0,0.0,,,
13543529264,PC004336,컨츄리타임 레몬에이드 분말 538g 1개,4900.0,0.0,3000.0,0.0,0.0,,,
13543529153,PC004900,리고 초코 시럽 585g 1개,4200.0,0.0,3000.0,0.0,0.0,,,
13543529152,PC004901,리고 딸기 시럽 585g 1개,4200.0,0.0,3000.0,0.0,0.0,,,
13543529151,PC004841,호니베어 블루베리 시럽 595g 1개,5300.0,0.0,3000.0,0.0,0.0,,,
13543529150,PC005722,보베다 블렌드 포마스 올리브오일 5L 1개,21500.0,0.0,3000.0,0.0,0.0,,,
13543529148,PC005045,파티니 올리브 포마스 오일 5L 1개,30700.0,0.0,3000.0,0.0,0.0,,,
13543529147,PC005332,제니스 닭가루 680g 1개,3800.0,0.0,3000.0,0.0,0.0,,,
13543529144,PC005548,하늘청 식혜 농축액 790ml 1개,6400.0,0.0,3000.0,0.0,0.0,,,
13543529143,PC005008,몬 홀그레인 머스타드 820g 1개,9200.0,0.0,3000.0,0.0,0.0,,,
13543529142,PC004301,삼아 딸기 원액 835ml 1개,2800.0,0.0,3000.0,300.0,0.0,,,
13543529141,PC004300,삼아 오렌지 원액 835ml 1개,2800.0,0.0,3000.0,300.0,0.0,,,
13543529140,PC004299,삼아 키위 원액 835ml 1개,2900.0,0.0,3000.0,300.0,0.0,,,
13543529139,PC004298,삼아 파인애플 원액 835ml 1개,2900.0,0.0,3000.0,300.0,0.0,,,
13543529138,PC004740,S&W 파인애플 슬라이스 836g 1개,3300.0,0.0,3000.0,0.0,0.0,,,
13543529137,PC004737,S&W 후르츠칵테일 850g 1개,3200.0,0.0,3000.0,300.0,0.0,,,
13543529136,PC005526,화남 밀감 통조림 850g 1개,3700.0,0.0,3000.0,300.0,0.0,,,
13543529135,PC004307,르씨엘 레몬 후르츠 주스 946ml 1개,3400.0,0.0,3000.0,0.0,0.0,,,
13527543846,PC005830,"피뉴트 갈릭새우칩 240g, 1개",3500.0,0.0,3000.0,0.0,0.0,,,
13364477774,BT10EA-25-40-02,"삼성 까스명수 75ml, 60개",30000.0,0.0,3000.0,0.0,0.0,6,,
12995816962,83-62-01,사조 안심특선 79호 4세트,78700.0,0.0,3000.0,0.0,0.0,,,
12995779699,83-62,사조 안심특선 88호 4세트,69300.0,0.0,3000.0,0.0,0.0,,,
12792338300,TR1EA-62-39-01,"튀룽 갈릭어니언, 77g, 1개",2800.0,0.0,3000.0,1000.0,0.0,,,
12792338299,TR1EA-62-39,"튀룽 오리지널, 77g, 1개",2800.0,0.0,3000.0,1000.0,0.0,,,
12792338298,TR1EA-62-39-02,"튀룽 매콤떡볶이맛, 77g, 1개",2800.0,0.0,3000.0,1000.0,0.0,,,
12792338297,TR1EA-62-39-03,"튀룽 구운오징어, 77g, 1개",2800.0,0.0,3000.0,1000.0,0.0,,,
12727731522,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 8개",19000.0,0.0,3000.0,0.0,0.0,8,,
12727731521,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 7개",17000.0,0.0,3000.0,0.0,0.0,7,,
12727731520,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 6개",15000.0,0.0,3000.0,0.0,0.0,6,,
12727731519,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 5개",13000.0,0.0,3000.0,0.0,0.0,5,,
12727731518,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 4개",11000.0,0.0,3000.0,0.0,0.0,4,,
12727731516,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 3개",9000.0,0.0,3000.0,0.0,0.0,3,,
12727731515,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 2개",7000.0,0.0,3000.0,0.0,0.0,2,,
12727731514,MMC1EA-65-53-02,"김에 빠진 메밀칩 김맛, 160g, 1개",5000.0,0.0,3000.0,0.0,0.0,1,,
12678884898,36-41,"웰 바질시드 드링크 망고, 290ml, 12개",18900.0,0.0,0.0,0.0,0.0,,,
12678884897,36-44,"웰 바질시드 드링크 패션후르츠, 290ml, 12개",18900.0,0.0,0.0,0.0,0.0,,,
12678884896,36-43,"웰 바질시드 드링크 블루베리, 290ml, 12개",18900.0,0.0,0.0,0.0,0.0,,,
12678884895,36-40,"웰 바질시드 드링크 리치, 290ml, 12개",18900.0,0.0,0.0,0.0,0.0,,,
12678829026,36-53,"모구모구 망고, 320ml, 24개",19500.0,0.0,3000.0,0.0,0.0,,,
12678829025,36-52,"모구모구 요거트, 320ml, 24개",19500.0,0.0,3000.0,0.0,0.0,,,
12678829024,36-51,"모구모구 복숭아, 320ml, 24개",19500.0,0.0,3000.0,0.0,0.0,,,
