상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,카테고리코드,판매상태,옵션명1,옵션값1,재고수량
64d1e120dc0d937bde5dbbb9,31-29,캐나다드라이 진저엘 캔 250ml 60개 토닉워터캔,37000.0,48100.0,0.0,0.0,0.0,,,,103407,판매중,캐나다드라이 진저엘 캔 250ml 60개 토닉워터캔,캐나다드라이 진저엘 캔 250ml 60개 토닉워터캔,9999
64d1e1aa7c6944f94d99b13d,31-42-04,환타 파인 캔 250ml 60개,42700.0,55510.0,0.0,0.0,0.0,,,,103407,판매중,환타 파인 캔 250ml 60개,환타 파인 캔 250ml 60개,9999
64d1e44b3e8c477dc1194a88,28-20,동아제약 오란씨 파인애플맛 250ml 60개,30500.0,39650.0,0.0,0.0,0.0,,,,103407,판매중,동아제약 오란씨 파인애플맛 250ml 60개,동아제약 오란씨 파인애플맛 250ml 60개,9999
64d1e55f704f40ad3d49ac98,27-04,롯데칠성 밀키스 250ml 60개,41400.0,53820.0,0.0,0.0,0.0,,,,103408,판매중,롯데칠성 밀키스 250ml 60개,롯데칠성 밀키스 250ml 60개,9999
64d1eed9600eeb5e67b47212,31-47,환타 업소용 오렌지 캔 355ml 48개,36600.0,47580.0,0.0,0.0,0.0,,,,103407,판매중,환타 오렌지 캔 350ml 48개,환타 오렌지 캔 350ml 48개,9999
64d1ef33599cb6da88d1e9ad,29-05,일화 초정 탄산수 250ml 60개,29900.0,38870.0,0.0,0.0,0.0,,,,103350,판매중,일화 초정 탄산수 250ml 60개,일화 초정 탄산수 250ml 60개,9998
64d1f079852777843cd8b735,22-10,팔도 뽀로로 딸기맛 235ml 48개,40900.0,53170.0,0.0,0.0,0.0,,,,100012,판매중,팔도 뽀로로 딸기맛 235ml 48개,팔도 뽀로로 딸기맛 235ml 48개,9999
64d2e75ed74556fdcf7d4037,20-07-04,광동 남헛개차 340ml 40개,32600.0,42380.0,0.0,0.0,0.0,,,,103390,판매중,광동 남헛개차 340ml 40개,광동 남헛개차 340ml 40개,9999
64d2e8410434fbe420fc1917,27-014,롯데칠성 핫식스 355ml 48개,47000.0,61100.0,0.0,0.0,0.0,,,,103391,판매중,롯데칠성 핫식스 355ml 48개,롯데칠성 핫식스 355ml 48개,9999
64d2e88c29f703b5efc2b898,01-40,농심 프링글스 오리지날 110g 12개,24400.0,31720.0,0.0,0.0,0.0,,,,103474,판매중,농심 프링글스 오리지날 110g 12개,농심 프링글스 오리지날 110g 12개,9999
64d2ef6e35f8722642e43b07,27-15,롯데 펩시콜라 250ml 60개,44300.0,57590.0,0.0,0.0,0.0,,,,103412,판매중,롯데 펩시콜라 250ml 60개,롯데 펩시콜라 250ml 60개,9999
64d2efdb4c1c702d4eab207f,32-19-03,해태 코코팜 포도 340ml 캔 48개,35100.0,45630.0,0.0,0.0,0.0,,,,103355,판매중,해태 코코팜 포도 340ml 캔 48개,해태 코코팜 포도 340ml 캔 48개,9999
64d2f03915a3794078d54dd0,32-19-02,해태 코코팜 피치핑크 캔 340ml 48개,34600.0,44980.0,0.0,0.0,0.0,,,,103355,판매중,해태 코코팜 피치핑크 캔 340ml 48개,해태 코코팜 피치핑크 캔 340ml 48개,9999
64d2f1349ed64b7ffa724882,31-17,스프라이트 캔 355ml 48개 업소용,35600.0,44800.0,0.0,0.0,0.0,,,,103409,판매중,스프라이트 캔 355ml 48개 업소용,스프라이트 캔 355ml 48개 업소용,9999
64d2ff7b8e062f4d58ba39e2,27-04-01,롯데칠성 밀키스 캔 340ml 48개,32700.0,42510.0,0.0,0.0,0.0,,,,103408,판매중,롯데칠성 밀키스 캔 340ml 48개,롯데칠성 밀키스 캔 340ml 48개,9998
64d2ffe0cba59c106f5c1be5,31-03-01,몬스터 에너지 드링크 울트라 355ml 48개,69800.0,84400.0,0.0,0.0,0.0,,,,103407,판매중,몬스터 에너지 드링크 울트라 355ml 48개,몬스터 에너지 드링크 울트라 355ml 48개,9999
64d300280c29507969cb7c37,22-13,팔도 뽀로로 블루베리 235ml 48개,41300.0,53690.0,0.0,0.0,0.0,,,,100012,판매중,팔도 뽀로로 블루베리 235ml 48개,팔도 뽀로로 블루베리 235ml 48개,9999
64d3007e4ca5e97e857d9d35,31-01-05,코카콜라 250ml 60개,62300.0,78100.0,0.0,0.0,0.0,,,,103412,판매중,코카콜라 250ml 60개,코카콜라 250ml 60개,9999
64d301e5317b7edf6ff6eaa8,27-05,롯데 솔의눈 240ml 60개,42200.0,54860.0,0.0,0.0,0.0,,,,103355,판매중,롯데 솔의눈 240ml 60개,롯데 솔의눈 240ml 60개,9999
64d302911408bed69f669f21,32-01-03,해태 복숭아봉봉 340ml 48개,36600.0,47580.0,0.0,0.0,0.0,,,,103355,판매중,해태 복숭아봉봉 340ml 48개,해태 복숭아봉봉 340ml 48개,9999
64d302f0b19b0f378bbccccb,31-03-02,몬스터 에너지 드링크 오리지날 그린 355ml 48개,69800.0,87600.0,0.0,0.0,0.0,,,,103391,판매중,몬스터 에너지 드링크 오리지날 그린 355ml 48개,몬스터 에너지 드링크 오리지날 그린 355ml 48개,9999
64d303ff14d0b661d75d6d9d,32-18-01,해태 갈아만든배 340ml 48개,37200.0,48360.0,0.0,0.0,0.0,,,,100011,판매중,해태 갈아만든배 340ml 48개,해태 갈아만든배 340ml 48개,9999
64d306ce2f6485fa61105bec,22-11-01,팔도 뽀로로 사과맛 235ml 48개,40900.0,53170.0,0.0,0.0,0.0,,,,100012,판매중,팔도 뽀로로 사과맛 235ml 48개,팔도 뽀로로 사과맛 235ml 48개,9999
64d307515da74a6812da5460,01-42,농심 프링글스 핫 앤 스파이시 110g 24개,46600.0,60580.0,0.0,0.0,0.0,,,,103474,판매중,농심 프링글스 핫 앤 스파이시 110g 24개,농심 프링글스 핫 앤 스파이시 110g 24개,9999
64d307b7e6a06c03a64dffd2,32-01-02,해태 포도봉봉 340ml 48개,35100.0,45630.0,0.0,0.0,0.0,,,,103355,판매중,해태 포도봉봉 340ml 48개,해태 포도봉봉 340ml 48개,9999
64d30827ef25dddd7a000d23,27-01-01,롯데칠성 사이다 캔 250ml 60개,50900.0,66170.0,0.0,0.0,0.0,,,,103409,판매중,롯데칠성 사이다 캔 250ml 60개,롯데칠성 사이다 캔 250ml 60개,9999
64d30881f8bceb7f0c41629e,32-18,해태 갈아만든배 캔 238ml 48개,33100.0,43030.0,0.0,0.0,0.0,,,,103355,판매중,해태 갈아만든배 캔 238ml 48개,해태 갈아만든배 캔 238ml 48개,9999
64d308c2ba7ac2539084ad95,31-24,코카콜라 닥터페퍼 350ml 48개,36000.0,46800.0,0.0,0.0,0.0,,,,103407,판매중,코카콜라 닥터페퍼 350ml 48개,코카콜라 닥터페퍼 350ml 48개,9999
64d3092ce052cefcc8450db4,30-12,블랙보리 340ml 40개,28800.0,37440.0,0.0,0.0,0.0,,,,103398,판매중,블랙보리 340ml 40개,블랙보리 340ml 40개,9999
64d314250775bc4655d95968,31-50,토레타 240ml 60개,34600.0,41700.0,0.0,0.0,0.0,,,,13335,판매중,토레타 240ml 60개,토레타 240ml 60개,9996
64d31482679a7ba6974009bc,31-42-02,환타 오렌지 캔 250ml 60개,42700.0,55510.0,0.0,0.0,0.0,,,,103413,판매중,환타 오렌지 캔 250ml 60개,환타 오렌지 캔 250ml 60개,9999
64d3171c93c3d166fcec128b,31-03-03,몬스터에너지 울트라시트라 355ml 48개,69800.0,87300.0,0.0,0.0,0.0,,,,103391,판매중,몬스터에너지 울트라시트라 355ml 48개,몬스터에너지 울트라시트라 355ml 48개,9999
64d317858e7e654cc6d0557c,31-55,캐나다드라이 클럽소다 250ml 60개,37000.0,48100.0,0.0,0.0,0.0,,,,103407,판매중,캐나다드라이 클럽소다 250ml 60개,캐나다드라이 클럽소다 250ml 60개,9999
64d3185825609c8d3d4a2848,31-50-03,토레타 355ml 48개,34700.0,43400.0,0.0,0.0,0.0,,,,13335,판매중,토레타 355ml 48개,토레타 355ml 48개,9999
64d3196da2cf3612e4c3cd68,31-13-01,파워에이드 340ml 48개,36100.0,46930.0,0.0,0.0,0.0,,,,13335,판매중,파워에이드 340ml 48개,파워에이드 340ml 48개,9999
64d319bfe6a06c03a64f0835,32-21,해태 코코팜화이트 240ml 30캔,21100.0,27430.0,0.0,0.0,0.0,,,,103355,판매중,해태 코코팜화이트 240ml 30캔,해태 코코팜화이트 240ml 30캔,9999
64d31c44d9d2e688e379b735,20-01-01,광동 옥수수수염차 340ml 40개,32600.0,42380.0,0.0,0.0,0.0,,,,103396,판매중,광동 옥수수수염차 340ml 40개,광동 옥수수수염차 340ml 40개,9999
64d31c90f9c3d2abcde71631,27-36,롯데 펩시콜라 제로슈거 라임향 355ml(업소용) 48개,34200.0,44460.0,0.0,0.0,0.0,,,,103412,판매중,롯데 펩시콜라 제로슈거 라임향 355ml(업소용) 48개,롯데 펩시콜라 제로슈거 라임향 355ml(업소용) 48개,9999
64d31ced29f703b5efc5c257,32-19-04,해태 코코팜 화이트요구르트 캔 340ml 48개,35100.0,45630.0,0.0,0.0,0.0,,,,103355,판매중,해태 코코팜 화이트요구르트 캔 340ml 48개,해태 코코팜 화이트요구르트 캔 340ml 48개,9999
64d31dda92d2c34bb4984409,28-01,동아제약 포카리스웨트 캔 245ml 60개,46000.0,59800.0,0.0,0.0,0.0,,,,13335,판매중,동아제약 포카리스웨트 캔 245ml 60개,동아제약 포카리스웨트 캔 245ml 60개,9999
64d31e8bca37010a42457b04,31-10,코카콜라 조지아 오리지날240ml 60개,36400.0,47320.0,0.0,0.0,0.0,,,,13337,판매중,코카콜라 조지아 오리지날240ml 60개,코카콜라 조지아 오리지날240ml 60개,9996
64d31fad35d921a5384dddc3,27-16,롯데칠성 사이다355ml(업소용) 48개,37700.0,49010.0,0.0,0.0,0.0,,,,103409,판매중,롯데칠성 사이다355ml(업소용) 48개,롯데칠성 사이다355ml(업소용) 48개,9999
64d31ff90b6f7f38a81c0afe,28-04,동아제약 포카리스웨트 340ml 48개,38600.0,50180.0,0.0,0.0,0.0,,,,13335,판매중,동아제약 포카리스웨트 340ml 48개,동아제약 포카리스웨트 340ml 48개,9999
