관리코드,상품명,규격
02-22,항균트리오(과일세척)2kg(52),2kg*6
02-21,항균트리오(과일세척)1kg(40),1kg*12
27-01-02,핫식스캔 250 (96),250ml*30
27-53,핫식스라이트,250ml*30
27-014,핫식스355ml(99),355ml*24
27-08,핫식스 자몽캔 250,250ml*30
57-02,한성런천미트200(130),200g*24
57-04,한성런천미트 340 (91),340g*24
55-07-02,한뿌리(홍삼)120ml,10*4(set)
55-06-02,한뿌리 (인삼)120ml,10*4(set)
29-21,한라봉제주감귤175/일화(132),175ml*30
29-30.,한라봉에이드 350 (100),350ml*24
27-105,한라봉과유자레몬175/롯데칠성,175ml*30
52-21,하인즈칠리소스(캔),3k*6
36-02,하이썬부탄 (80),4*7
34-03.,하이드로토닉(104),300ml*24
17-03-03,하리보 프루티부시 100g(24입),100g*24
17-03-02,하리보 스타믹스 100g(26입),100g*26
17-03,하리보 골드베렌 100g사용중지,100g*30
17-03-01,하리보 골드베렌 100g(26입),100g*26
20-13,피크닉사과 (171),200ml*24
20-13-01,피크닉청포도 (171),200ml*24
40-09-02,피죤핑크로즈 2100 (40),(2100*2)*4
40-09-01,피죤옐로우미모사 2100 (40),(2100*2)*4
40-09,피죤블루비앙카 2100(40),(2100*2)*4
40-10,피죤2900ml*4(핑크로즈)(48),2900ml*4
40-10-02,피죤2900ml*4(옐로미모사)(48),2900ml*4
40-10-01,피죤2900ml*4(블루비앙카)(48),2900ml*4
40-10-04,피죤2500ml+600ml*4(비앙카),2500ml+600ml*4
40-10-05,피죤2500ml+600ml*4(미모사),2500ml+600ml*4
40-10-08,피죤2500*500용기(핑크)(48),2500*500*4개
40-10-06,피죤2500*500용기(비앙카)(48),(2500*500)*4개
40-10-07,피죤2500*500용기(미모사)(48),2500*500*4개
40-11,피죤2.8용기(핑크로즈),2.8*4
40-11-03,피죤2.8용기(옐로미모사),2.8*4
40-11-02,피죤2.8용기(블루비앙카),2.8*4
40-10-10,피죤2.0 말통,20L
40-01,피죤1600(핑크),1.600*2*4
40-01.,피죤1600(비앙카)블루,1600*2*4
40-01..,피죤1600(미모사),1600*2*4
40-10-03,피죤 2500*600ml*4 (핑크),2500ml*600ml
01-42,프링글스핫&스파이시(112),110g*12
01-44,프링글스치즈버거,110g*12
01-43,프링글스치즈(112),110g*12
01-40,프링글스오리지날 (112),110g*12
01-41,프링글스양파 (112),110g*12
01-48,프링글스버터카라멜(112),110g*12
01-45,프링글스바비큐,110g*12
01-47,프링글스마요치즈(112),110g*12
01-49,프링글스 클래식(112),110g*12
01-51,프링글스 크리미쉬림프(새우맛),110*12
01-51-01,프링글스 블랙페퍼크림 (킹크랩),110g*12
28-61-07,프리미엄아우성(콘돔)10입*18,(10p*10)*18
28-61-08,프리미엄아우성(콘돔)10입,(10p*10)
480,풀무원샘물500 (112),500ml*20
28-01,포카리캔 240 (99/90),240ml*30
28-04,포카리[뚱캔]340 (88),340ml*24
28-040,포카리 Pet 340(72),340ml*20
28-03,포카리 500 (63),500ml*20
28-02,포카리 1.5 (40),1.5L*12
32-01.,포도봉봉24입,238ml*24
14-03.,펭귄황도(신형)2절(96),400g*24
14-10,펭귄황도슬라이스(96),400g*24
14-03,펭귄황도(小) 구형,400g*24
14-15,펭귄번데기,130g*48
14-04,펭귄백도(2절),400g*24
14-25,펭귄꽁치1.88(덕용),1.88k*6
14-01,펭귄꽁치(한마리) 400 (96),400g*24
14-05,펭귄골뱅이(大),400g*24
14-02-02,펭귄고등어(신형) /100,400g*24
14-02,펭귄고등어 (구형)/100,400g*24
14-12-01,펭귄HC청어 400g(강구나루)/100,400g*24
14-12,펭귄HC꽁치400g(강구나루)(100),400g*24
14-13,펭귄HC고등어400g(강구나루)/100,400g*24
14-01-01,펭귄 김치꽁치380,380g*24
14-39,펭귄 과일선물 1-A호(백도4+황도4),(백도4+황도4)*6세트
27-15-01,펩시콜라캔기획250(4+2),250*(4+2)*(120)
27-15-02,펩시콜라캔190 (143),190ml*30
27-360,펩시콜라스터비 245ml(업소용)(135),245ml*24
27-96,펩시콜라 600,600*20
27-11,펩시콜라 500 (업소용) (77),500ml*20
27-36,펩시콜라 355 (업소용) (99),355ml*24
27-15,펩시콜라 250 (110/121),250ml*30
27-26,펩시콜라제로 1.5 (55),1.5L*12
27-26-01,펩시콜라 1.25 (업소용) (60),1.25*12
04-05,페브리지(허브)370g,370g*15
04-09,페브리지(은은한향)370g,370g*15
04-04,페브리지(은은)370+320*12,370+320*12
04-06,페브리지(상쾌)370g,370g*15
04-04.,페브리지(상쾌)370+320*12,370+320*12
04-07,페브리지(무향)370g,370g*12
04-08,페브리지(다우니)370*g,370g*15
04-11,페브리즈(은은향)리필,320*24
04-10,페브리즈(상쾌한향)리필,320*24
65-03-02,페리에자몽 330ml (81),330ml*24
65-03,페리에[플레인] 330ml (81),330ml*24
65-03-06,페리에[복숭아] 330ml(81),330ml*24
65-02,페리에[레몬] 330ml (81),330ml*24
65-01,메종페리에 라임(캔)330ml (130),330ml*24
09-06,퍼실(일반)2.7+1.8,2.7+1.8*4
09-05,퍼실(일반)2.7,2.7*4
09-07,퍼실(드럼)2.7+1.8*4,2.7+1.8*4
09-05.,퍼실(드럼)2.7,2.7*4
17-12-01,팬파인애플쥬스 1L,1L*12
32-04.,팬돌이블루/해태,300*20
80-81-02,패션입체마스크(소분),20입
80-81,패션입체마스크,20입*50
03-02.,팡뚜러/2L*6,2L*6
03-02,팡뚜러/1L*12(휴먼텍),1k*12
22-51-07,팔도틈새볶음면 컵,130*16
22-51-01,팔도틈새볶음면,130*32
22-51-00,팔도틈새라면 매운김치(4*8),120g*32
22-51,팔도틈새라면,120g*40
22-51-02,팔도틈새떡볶이,166*16
54-21-02,팔도쫄비빔면(40입),(5*8)
22-23-05,팔도짬뽕왕뚜껑,110g*18
22-51-03,팔도짜장면(32입),4*8
22-51-05,팔도일품해물라면,120g*40
22-51-04,팔도일품삼선짜장,120g*32
22-23-02,팔도우동왕뚜껑,(110*18)
22-51-06,팔도왕짬뽕(불)(32입),(4*8)
22-23-06,팔도왕뚜껑기획(왕뚜3+김치왕뚜3),(왕뚜6*3)
