상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
95779929877,52-176-30-01,"스파게티토마토비프소스 (하인즈 3k) X 6, 3kg, 6개",131700.0,131700.0,0.0,0.0,0.0,,,
95779929948,32-43-30-01,"헌트 토마토페이스트 3.15kg 한박스 (3.15kg x 6ea), 6개",127200.0,127200.0,0.0,0.0,0.0,,,
95779929954,94-01-04-09,"미드봉 굵은후추, 400g, 20개",202300.0,202300.0,0.0,0.0,0.0,,,
95779930001,161-98-20-02,"오뚜기 이금기 중화두반장소스 2040gx6개, 2.04kg, 6개",160100.0,160100.0,0.0,0.0,0.0,,,
95779930108,246-06-10-01,"명진 혼다시 다시노모도, 1kg, 10개",99100.0,99100.0,0.0,0.0,0.0,,,
95779930239,15-245-160-01,"새댁표 고추맛기름, 1개, 15L",94800.0,94800.0,0.0,0.0,0.0,,,
95779930253,14-25,"펭귄 꽁치 통조림 덕용, 6개, 1.88kg",111500.0,111500.0,0.0,0.0,0.0,,,
95779930309,154-4585-85-20,"펭귄 양념꽁치 통조림, 48개, 140g",63100.0,63100.0,0.0,0.0,0.0,,,
95779930347,11-222-08-01,"밀감캔 화남 850g X12개 밀감 업소용 통조림 식자재, 12개",45900.0,45900.0,0.0,0.0,0.0,,,
95779930377,86-66-05-02,"캡사이신소스 청우 550gX12 업소용 식당용, 12개, 550g",79400.0,79400.0,0.0,0.0,0.0,,,
95779930384,16-167-150-01,"롯데 환만식초 말통, 15L, 1개",21400.0,21400.0,0.0,0.0,0.0,,,
95779930403,15-88-10-01,"해표 재래 압착식 참기름, 1.8L, 8개",159500.0,159500.0,0.0,0.0,0.0,,,
95779930460,17-04,"델몬트 파인애플 3050g, 3.05kg, 6개",81700.0,81700.0,0.0,0.0,0.0,,,
95779930505,23-85,"목우촌 뚝심, 300g, 24개",75000.0,75000.0,0.0,0.0,0.0,,,
95779930564,15-03-10,"스팸 클래식, 300g, 20개",78000.0,78000.0,0.0,0.0,0.0,,,
95779930575,17-69-30-01,"돌 후르츠칵테일 3kg 6개입/box, 6개",61600.0,61600.0,0.0,0.0,0.0,,,
95779930582,638-134-50-01,"보베다 블렌드 포마스 올리브오일, 3개, 5L",73100.0,73100.0,0.0,0.0,0.0,,,
94696958268,12-11-01,"동원 쿨피스 제로 복숭아, 230ml, 30개",16300.0,21200.0,0.0,0.0,0.0,,,
94696958267,12-11-01,"동원 쿨피스 제로 복숭아, 230ml, 60개",29900.0,38900.0,0.0,0.0,0.0,,,
94598152325,83-62-01,"해표 안심특선 79호 선물세트, 1개",24500.0,24500.0,0.0,0.0,0.0,,,
94598152326,83-62-01,"해표 안심특선 79호 선물세트, 4개",87300.0,87300.0,0.0,0.0,0.0,,,
94597949385,83-62,"사조안심특선 88호+전용쇼핑백 명절 선물세트 베스트, 1세트",22000.0,22000.0,0.0,0.0,0.0,,,
94597949384,83-62,"사조해표 안심특선 88호 3+1 총4세트, 4개",77300.0,77300.0,0.0,0.0,0.0,,,
94150177429,,"맛있는 김이 살포시 뿌려진 김에 빠진 메밀칩, 1개, 160g",4900.0,5000.0,0.0,0.0,0.0,,,
94150177433,,"김에 빠진 메밀칩 160g, 2개",6810.0,7000.0,0.0,0.0,0.0,,,
94150177428,,"맛있는 김이 살포시 뿌려진 김에 빠진 메밀칩, 3개, 160g",8750.0,9000.0,0.0,0.0,0.0,,,
94150177430,,"맛있는 김이 살포시 뿌려진 김에 빠진 메밀칩, 4개, 160g",10940.0,11000.0,0.0,0.0,0.0,,,
94150177434,,"맛있는 김이 살포시 뿌려진 김에 빠진 메밀칩, 5개, 160g",12690.0,13000.0,0.0,0.0,0.0,,,
94150177432,,"김에 빠진 메밀칩 160g, 6개",15000.0,15000.0,0.0,0.0,0.0,,,
94150177431,,"김에 빠진 메밀칩, 7개, 160g",17000.0,17000.0,0.0,0.0,0.0,,,
94150177435,,"맛있는 김이 살포시 뿌려진 김에 빠진 메밀칩, 8개, 160g",18900.0,19000.0,0.0,0.0,0.0,,,
93485350578,01-17,"추석 선물세트 청정원 스페셜 NH2호 1set 명절 설날 선물셋트 카놀라유 올리고당 기름세트, 1개",28500.0,33000.0,0.0,0.0,0.0,,,
93485350586,01-17,"청정원 스페셜 NH2호 1set 명절 추석 선물세트, 2세트",53300.0,55500.0,0.0,0.0,0.0,,,
93485350582,01-17,"설날 선물세트 청정원 스페셜 NH2호 총3세트 명절 선물셋트 카놀라유 올리고당 햄세트, 3세트",78300.0,81100.0,0.0,0.0,0.0,,,
93485251376,01-19-10,"청정원 스페셜 s호 명절 선물세트 4세트, 1세트",16900.0,22000.0,0.0,0.0,0.0,,,
93485251377,01-19-10,"청정원선물세트 스페셜 S호x4세트(1BOX) +선물용 가방 / 명절선물, 2세트",30300.0,39400.0,0.0,0.0,0.0,,,
93485251379,01-19-10,"청정원선물세트 스페셜 S호x4세트(1BOX) +선물용 가방 / 명절선물, 3세트",43200.0,56200.0,0.0,0.0,0.0,,,
93485251378,01-19-10,"청정원 스페셜S호 선물세트(쇼핑백포함), 4세트",56500.0,73500.0,0.0,0.0,0.0,,,
93485226527,45-10-09,"스팸 12k호 선물세트+쇼핑백포함, 1세트",27100.0,35200.0,0.0,0.0,0.0,,,
93485226528,45-10-09,"스팸 12k호 선물세트+쇼핑백포함, 2세트",50600.0,65800.0,0.0,0.0,0.0,,,
93485226529,45-10-09,"스팸 선물세트 12호 + 쇼핑백, 3세트",74200.0,96500.0,0.0,0.0,0.0,,,
93485226526,45-10-09,"스팸 12k호 선물세트+쇼핑백포함, 4세트",97700.0,127000.0,0.0,0.0,0.0,,,
93485198196,45-12-06,"CJ 제일제당 스팸 H2호 명절 스팸선물세트, 1세트",19300.0,25100.0,0.0,0.0,0.0,,,
93485198194,45-12-06,"CJ제일제당 스팸 특별한선택 H-2호 H2호 선물세트 햄세트 + 쇼핑백포함, 2세트",35500.0,46200.0,0.0,0.0,0.0,,,
93485198197,45-12-06,"CJ제일제당 스팸 특별한선택 H-2호 H2호 선물세트 햄세트 + 쇼핑백포함, 3세트",51000.0,66300.0,0.0,0.0,0.0,,,
93485198193,45-12-06,"CJ제일제당 스팸 특별한선택 H-2호 H2호 선물세트 햄세트 + 쇼핑백포함, 4세트",66800.0,86800.0,0.0,0.0,0.0,,,
93485198195,45-12-06,"CJ제일제당 스팸 특별한선택 H-2호 H2호 선물세트 햄세트 + 쇼핑백포함, 5세트",82600.0,107400.0,0.0,0.0,0.0,,,
93385315230,PC003582,"프렌치카페 카페 믹스, 11.1g, 160개입, 1개",27100.0,33500.0,0.0,0.0,0.0,,,
93385315229,PC003582,"프렌치카페 카페 믹스, 11.1g, 160개입, 2개",50800.0,62400.0,0.0,0.0,0.0,,,
93385315232,PC003582,"프렌치카페 카페믹스 마일드, 11.1g, 160개입, 3개",74500.0,96700.0,0.0,0.0,0.0,,,
93385315231,PC003582,"프렌치카페 카페 믹스, 4개, 160개입",98200.0,119600.0,0.0,0.0,0.0,,,
93385266239,PC003422,"스팸 클래식, 1.81kg, 1개",29000.0,37700.0,0.0,0.0,0.0,,,
93385266236,PC003422,"스팸 클래식, 1.81kg, 2개",55200.0,71800.0,0.0,0.0,0.0,,,
93385266237,PC003422,"스팸 클래식, 1.81kg, 3개",80500.0,104700.0,0.0,0.0,0.0,,,
93385266245,PC003422,"스팸 클래식, 1.81kg, 4개",105900.0,137700.0,0.0,0.0,0.0,,,
93385266238,PC003422,"스팸 클래식, 1.81kg, 5개",131200.0,170600.0,0.0,0.0,0.0,,,
93385266242,PC003422,"스팸 클래식, 1.81kg, 6개",200150.0,260100.0,0.0,0.0,0.0,,,
93385231564,PC001958,"백설 콩기름, 1.8L, 1개",8900.0,11600.0,0.0,0.0,0.0,,,
93385231561,PC001958,"백설 콩기름, 1.8L, 2개",14900.0,19400.0,0.0,0.0,0.0,,,
93385231563,PC001958,"백설 콩기름, 1.8L, 3개",20100.0,26100.0,0.0,0.0,0.0,,,
93385231568,PC001958,"백설 콩기름, 1.8L, 4개",25300.0,32900.0,0.0,0.0,0.0,,,
93385231570,PC001958,"백설 콩기름, 1.8L, 5개",30500.0,39700.0,0.0,0.0,0.0,,,
93385231567,PC001958,"백설 콩기름, 1.8L, 6개",35700.0,46400.0,0.0,0.0,0.0,,,
93385231573,PC001958,"백설 콩기름, 1.8L, 7개",41400.0,52700.0,0.0,0.0,0.0,,,
93385231566,PC001958,"백설 콩기름, 1.8L, 8개",46900.0,59100.0,0.0,0.0,0.0,,,
93385231562,PC001958,"백설 콩기름, 1.8L, 9개",52300.0,67100.0,0.0,0.0,0.0,,,
