code,l1,l2,l3,value
080506,라이프,청소/시설관리,로비/카트,[080506] 라이프 / 청소/시설관리 / 로비/카트
080601,라이프,청소도구,청소기/세척기,[080601] 라이프 / 청소도구 / 청소기/세척기
080602,라이프,청소도구,마대/대걸레/탈수기,[080602] 라이프 / 청소도구 / 마대/대걸레/탈수기
080603,라이프,청소도구,빗자루쓰레받이,[080603] 라이프 / 청소도구 / 빗자루쓰레받이
080604,라이프,청소도구,극세사 걸레,[080604] 라이프 / 청소도구 / 극세사 걸레
080605,라이프,청소도구,기타 청소용품,[080605] 라이프 / 청소도구 / 기타 청소용품
080701,라이프,소방/안전용품,안전설비,[080701] 라이프 / 소방/안전용품 / 안전설비
080702,라이프,소방/안전용품,소화기,[080702] 라이프 / 소방/안전용품 / 소화기
080703,라이프,소방/안전용품,유도등/조명등,[080703] 라이프 / 소방/안전용품 /유도등/조명등
080704,라이프,소방/안전용품,응급용품,[080704] 라이프 / 소방/안전용품 / 응급용품
