관리코드,식품음료,합포수량,최종분류
11-75-02,식품,1,과일 통조림
11-75-03,식품,1,과일 통조림
11-75-04,식품,1,과일 통조림
11-75-05,식품,1,과일 통조림
11-89-20-01,음료,1,차
110-166-07-01,음료,1,식혜류
111-111-11-11,식품,,
116-278-01-01,식품,1,
119-151-20-09,식품,1,
12-01-01,음료,1,차
12-01-04,음료,1,기타과즙음료
12-01-05,음료,1,기타과즙음료
12-01-10,음료,2,기타과즙음료
12-01-12,음료,1,차
12-01-13,음료,1,차
12-02,음료,1,차
12-04,음료,1,생수
12-04-01,음료,1,생수
12-10,음료,3,기타과즙음료
12-11-01,음료,2,기타과즙음료
12-11-02,음료,2,기타과즙음료
12-12,음료,3,차
12-13,음료,3,꿀물
12-14,음료,3,차
12-15,음료,1,식혜류
12-15-01,음료,1,기타과즙음료
12-15-02,음료,1,기타과즙음료
12-16,음료,3,식혜류
12-18-02,음료,2,기타과즙음료
12-18-03,음료,1,기타과즙음료
12-18-11,음료,2,기타과즙음료
12-19,음료,1,기타과즙음료
12-21,식품,1,스팸류
12-21-02,식품,1,스팸류
12-29,음료,2,식혜류
12-30,음료,2,식혜류
12-30-01,음료,1,식혜류
12-34,음료,2,기타과즙음료
12-37-02,음료,1,차
12-39,음료,1,탄산수
12-41,음료,4,기타과즙음료
12-41-01,음료,4,기타과즙음료
122-255-89-88,식품,1,
123-150-52-58,식품,1,
123-25-55-1,식품,1,스낵류
123-56-55-55,식품,1,기타조미료
123-565-558-858,식품,1,
128-300-30-01,식품,1,
128-77-885-77,식품,1,
13-02.,식품,1,과일 통조림
13-73,음료,1,생수
13-73-01,음료,1,생수
13-74,음료,2,생수
13-74-01,음료,1,생수
131-149-04-01,식품,1,
131-261-30-01,식품,1,
131-82-10-02,식품,1,
132-22-25-22,식품,1,건강 식품
132-22-25-23,식품,1,건강 식품
133-79-10-01,식품,1,기타조미료
139-89-20-01,음료,1,차
14-01,식품,1,꽁치통조림
14-01-01,식품,1,꽁치통조림
14-02-02,식품,1,꽁치통조림
14-03.,식품,1,과일 통조림
14-04,식품,1,과일 통조림
14-10,식품,1,과일 통조림
14-12,식품,1,꽁치통조림
14-12-01,식품,1,꽁치통조림
14-13,식품,1,꽁치통조림
14-13-01,식품,1,과일 통조림
14-15,식품,1,번데기
14-25,식품,1,꽁치통조림
14-39,식품,1,선물세트
14-51,음료,1,생수
14-52-01,음료,1,탄산수
14-52-02,음료,1,탄산수
14-52-03,음료,1,탄산수
14-52-04,음료,1,탄산수
14-52-05,음료,1,생수
14-52-06,음료,2,생수
14-52-07,음료,1,생수
14-53-01,음료,1,탄산수
14-53-02,음료,1,생수
140-300-20-04,식품,1,
142-06-10-01,식품,1,면류
144-288-20-01,식품,1,기타조미료
144-288-20-02,식품,1,
148-81-130-01,식품,1,기타조미료
148-888-77-88,식품,1,
149-100-04-01,식품,1,기타
149-100-30-01,식품,1,
15-03,식품,2,스팸류
15-03-03,식품,2,스팸류
15-03-06,식품,1,스팸류
15-03-09,식품,2,스팸류
15-03-10,식품,1,스팸류
15-03-11,식품,1,스팸류
15-03-12,식품,1,스팸류
15-03-13,식품,1,스팸류
15-04,식품,2,스팸류
15-04-01,식품,1,스팸류
15-04-02,식품,2,스팸류
15-04-03,식품,2,스팸류
15-04-09,음료,1,건강 식품
15-04-10,식품,1,꽁치통조림
15-04-11,식품,1,꽁치통조림
15-05,식품,1,스팸류
15-05-01,식품,1,과일 통조림
15-06-04,식품,1,참치캔
15-06-05,식품,1,참치캔
15-06-75,식품,1,참치캔
15-07,식품,1,참치캔
15-07-02,식품,1,참치캔
15-08,음료,1,기타과즙음료
15-08-05,음료,1,기타과즙음료
15-13-01,식품,1,기타조미료
15-13.,식품,1,
15-15-02,식품,1,햇반
15-15-04,식품,1,햇반
15-15-06,식품,1,햇반
15-15-07,식품,1,햇반
15-15-08,식품,1,햇반
15-152-100-02,식품,1,
15-157-20-01,식품,1,
15-16-01,식품,1,햇반
15-19,식품,1,기타조미료
15-20,식품,1,기타조미료
15-227-10-02,식품,1,기타조미료
15-23,식품,1,스팸류
15-244-10-01,식품,1,
15-245-150-01,식품,1,기타조미료
15-245-150-02,식품,1,기타조미료
15-245-160-01,식품,1,기타조미료
15-300-10-02,식품,1,
15-300-20-01,식품,1,
15-40,식품,1,설탕
15-40-03,식품,1,설탕
15-42-02,식품,1,설탕
15-43-03,식품,1,설탕
15-44,식품,1,설탕
15-46,식품,1,설탕
15-47,식품,1,설탕
15-47-02,식품,1,설탕
15-60,식품,1,설탕
15-60-02,식품,1,설탕
15-61,식품,1,설탕
15-61-03,식품,1,설탕
15-62,식품,1,설탕
15-63,식품,1,설탕
15-72-180-01,식품,1,식용유
15-82,식품,1,기타조미료
15-83,식품,1,기타조미료
15-86-10-01,식품,1,참치캔
15-87-03,식품,1,기타조미료
15-87-04,식품,1,기타조미료
15-88-10-01,식품,1,기타조미료
150-07-30-01,식품,1,
152-322-52-74,식품,1,
152-555-89-99,식품,1,
153-255-56-55,식품,1,
154-4585-85-20,식품,1,꽁치통조림
154-899-666-33,식품,1,
154-98-100-01,식품,1,
154-98-20-01,식품,1,
155-455-88-77,식품,1,
156-191-06-01,식품,1,
156-274-06-01,식품,1,
156-300-01-01,식품,1,
156-300-02-01,식품,1,
156-300-10-01,식품,1,
157-177-05-02,식품,1,
158-15-30-01,식품,1,
159-02-01-01,식품,1,
159-02-01-02,식품,1,
159-02-05-01,식품,1,
159-116-140-01,식품,1,
159-300-140-01,식품,1,
16-01,식품,1,스팸류
16-02,식품,1,스팸류
16-05,식품,1,스팸류
16-06,식품,1,스팸류
16-167-10-01,식품,1,기타조미료
16-167-150-01,식품,1,기타조미료
16-168-180-01,식품,1,
16-230-10-01,식품,1,기타조미료
16-230-180-01,식품,1,기타조미료
16-24-01,식품,1,선물세트
16-300-20-01,식품,1,
16-300-20-12,식품,1,
16-31-02,선물세트,1,선물세트
16-51-03,식품,10,스낵류
16-71,선물세트,1,기타
160-149-04-01,식품,1,
160-195-04-01,식품,1,
161-227-10-01,식품,1,
161-308-02-02,식품,1,양념장
161-308-20-04,식품,1,양념장
161-98-20-02,식품,1,
165-300-09-01,식품,1,
165-327-100-01,식품,1,기타조미료
165-81-130-01,식품,1,
166-110-50-01,식품,1,
167-328-05-01,식품,1,
168-82-10-01,식품,1,
168-82-10-03,식품,1,
168-97-05-01,음료,1,
17-01,식품,1,과일 통조림
17-02,식품,1,과일 통조림
17-12,음료,1,기타과즙음료
17-12.,음료,1,기타과즙음료
17-33-30-01,식품,1,
17-69-30-01,식품,1,과일 통조림
174-314-10-01,식품,1,기타조미료
174-314-150-02,식품,1,기타조미료
177-311-02-01,식품,1,
18-01,식품,1,과일 통조림
18-02,식품,1,과일 통조림
18-09,식품,1,과일 통조림
18-131-30-01,식품,1,
18-216-20-01,식품,1,
18-220-20-01,식품,1,
18-294-10-01,식품,1,
18-297-10-01,식품,1,기타조미료
18-311-08-01,식품,1,
18-311-08-02,식품,1,
18-311-08-04,식품,1,
18-48-04-01,식품,1,
18-48-20-01,식품,1,기타
18-56-30-01,식품,1,
186-300-05-01,식품,1,
19-01,식품,1,골뱅이
19-02,식품,1,골뱅이
19-17,식품,1,번데기
19-20,식품,1,과일 통조림
19-72-180-01,식품,1,식용유
19-72-180-02,식품,1,식용유
190-15-30-01,식품,1,기타
192-04-05-01,식품,1,
195-178-02-01,식품,1,
197-33-08-01,식품,1,과일 통조림
20-00,식품,1,기타
20-01,음료,2,차
20-01-01,음료,2,차
20-02,음료,1,차
20-02-02,음료,1,차
20-03,음료,1,차
20-03-01,음료,1,차
20-04,음료,0.5,비타박카스
20-04-01,음료,1,비타박카스
20-05,음료,1,비타박카스
20-06,음료,1,비타박카스
20-06-02,음료,1,비타박카스
20-07,음료,2,차
20-07-01,음료,1,기타과즙음료
20-07-02,음료,1,기타과즙음료
20-07-04,음료,2,차류
20-07-05,음료,2,차류
20-08,음료,1,차
20-08-04,음료,1,차
20-09,음료,1,차
20-09-01,음료,1,차
20-10,음료,0.5,비타박카스
20-12,음료,1,병류
