관리코드,식품음료,합포수량,최종분류
27-26-01,음료,1,탄산음료
27-26-03,음료,1,탄산음료
27-261-30-02,식품,1,
27-261-30-03,식품,1,
27-261-30-04,식품,1,
27-28,음료,1,탄산음료
27-28-01,음료,1,탄산음료
27-28-02,음료,1,탄산음료
27-330,음료,2,탄산음료
27-331,음료,2,탄산음료
27-36,음료,2,탄산음료
27-360,음료,2,탄산음료
27-37,음료,2,탄산음료
27-37-01,음료,1,탄산음료
27-37-02,음료,2,탄산음료
27-37-03,음료,2,탄산음료
27-37-04,음료,2,탄산음료
27-39,음료,2,기타과즙음료
27-39-01,음료,3,기타과즙음료
27-39-05,식품,1,
27-44,음료,3,커피
27-44-01,음료,3,커피
27-45-05,음료,1,커피
27-45-06,음료,1,커피
27-45-07,음료,1,커피
27-45-07-02,음료,1,커피
27-64,음료,3,커피
27-75-06,식품,1,
27-75-08,식품,1,
27-78-04,음료,1,기타과즙음료
27-91-02,음료,2,기타과즙음료
27-91-03,음료,2,기타과즙음료
270-175-05-01,식품,1,
270-175-05-03,식품,1,
271-159-10-01,식품,1,
271-193-30-03,식품,1,설탕
271-34-05-01,식품,1,
271-34-05-02,식품,1,
274-245-10-01,식품,1,
274-245-10-02,식품,1,기타조미료
274-245-10-03,식품,1,기타조미료
277-12-30-01,식품,1,
277-15-30-01,식품,1,
277-15-30-02,식품,1,
278-15-30-01,식품,1,
28-01,음료,2,이온
28-02,음료,1,이온
28-03,음료,1,이온
28-04,음료,2,이온
28-06,음료,1,비타박카스
28-09,음료,1,탄산음료
28-12,음료,2,탄산음료
28-12-02,음료,2,탄산음료
28-13,음료,0.5,비타박카스
28-13-01,음료,1,설탕
28-13-05,음료,0.5,비타박카스
28-13-36,식품,1,
28-15,음료,1,탄산음료
28-16,음료,1,탄산음료
28-17,음료,2,기타과즙음료
28-18,음료,2,탄산음료
28-19,식품,1,
28-20,음료,2,탄산음료
28-20-01,음료,2,탄산음료
28-22,음료,2,탄산음료
28-22-06,음료,1,탄산음료
28-23,음료,2,탄산음료
28-24-01,음료,1,비타박카스
28-24-02,음료,1,탄산음료
28-24-03,음료,1,탄산음료
28-24-04,음료,1,탄산음료
28-24-05,음료,2,탄산음료
28-24-06,음료,2,탄산음료
28-24-06-01,음료,1,탄산수
28-24-07,음료,1,탄산음료
28-24-08,음료,1,탄산음료
28-24-10,음료,1,탄산수
28-31,음료,1,비타박카스
28-31-01,음료,1,비타박카스
28-43-01,음료,1,건강 식품
28-50,음료,0.5,비타박카스
28-51,음료,1,비타박카스
28-52,음료,1,비타박카스
28-52-01,음료,2,비타박카스
28-52-02,음료,2,비타박카스
28-53,음료,1,비타박카스
28-53-03,음료,1,비타박카스
28-53-05,음료,1,기타과즙음료
28-60-04,음료,1,비타박카스
283-326-200-01,식품,1,기타조미료
283-326-200-02,식품,1,기타조미료
29-00,음료,2,차
29-01,음료,2,탄산음료
29-01-03,음료,2,탄산음료
29-02,음료,1,탄산음료
29-03,음료,1,탄산음료
29-04,음료,1,탄산수
29-04-02,음료,2,탄산음료
29-04-03,음료,2,탄산음료
29-05,음료,2,탄산수
29-05-01,음료,3,탄산수
29-05-02,음료,2,탄산수
29-06,음료,1,탄산수
29-07,음료,1,탄산음료
29-07-01,음료,1,탄산음료
29-08,음료,1,탄산음료
29-08-01,음료,1,탄산음료
29-10-01,음료,3,탄산음료
29-16,음료,2,차
29-17,음료,2,차
29-17-01,식품,3,건강 식품
29-19,음료,3,탄산음료
29-22,음료,2,탄산음료
29-23,음료,1,탄산음료
29-24,음료,1,탄산음료
29-29-05,식품,1,세탁/세제류
29-30-02,음료,2,
29-30.,음료,2,기타과즙음료
29-63,식품,1,홍삼
29-67,음료,2,탄산음료
29-68,음료,1,탄산음료
290-89-10-08,식품,1,
297-256-09-01,식품,1,
297-583-56-45,식품,1,
30-04,음료,1,생수
30-05,음료,1,생수
30-12,음료,2,차
30-12-00,음료,1,차
30-12-01,음료,1,차
30-12-01.,음료,1,차
30-12-02,음료,1,차
30-12-03,음료,3,차
30-12-05,음료,1,차
30-13,음료,1,생수
302-110-30-01,식품,1,
305-49-03-01,식품,1,
306-33-08-01,식품,1,과일 통조림
306-33-30-01,식품,1,과일 통조림
306-33-30-02,식품,1,과일 통조림
306-69-08-01,식품,1,과일 통조림
306-69-30-01,식품,1,과일 통조림
31-01-01,음료,3,탄산음료
31-01-011,음료,3,탄산음료
31-01-04,음료,2,탄산음료
31-01-05,음료,2,탄산음료
31-01-06,음료,2,탄산음료
31-01-08,음료,2,탄산음료
31-03,음료,2,탄산음료
31-03-01,음료,2,탄산음료
31-03-02,음료,2,탄산음료
31-03-03,음료,2,탄산음료
31-03-04,음료,2,탄산음료
31-03-05,음료,2,탄산음료
31-03-06,음료,2,탄산음료
31-03-07,음료,2,탄산음료
31-03-08,음료,2,탄산음료
31-03-09,음료,2,탄산음료
31-03-10,음료,2,탄산음료
31-03-11,음료,2,탄산음료
31-03-12,식품,2,
31-03-13,식품,2,
31-04-01,음료,1,탄산음료
31-04-02,음료,1,탄산음료
31-04-03,음료,1,탄산음료
31-05,음료,1,탄산음료
31-05-001,음료,1,탄산음료
31-05-01,음료,1,탄산음료
31-09,음료,1,탄산음료
31-09-01,음료,1,탄산음료
31-09-06,음료,1,탄산음료
31-10,음료,2,커피
31-11,음료,2,탄산음료
31-11-01,음료,2,탄산음료
31-13,음료,2,이온
31-13-01,음료,2,이온
31-13-02,음료,2,이온
31-13-03,음료,1,이온
31-13-04,음료,1,이온
31-16,음료,1,이온
31-17,음료,2,탄산음료
31-17-00,음료,2,탄산음료
31-17-01,음료,2,탄산음료
31-17-02,음료,3,탄산음료
31-17-03,음료,2,탄산음료
31-17-08,음료,1,탄산음료
31-17-09,음료,2,탄산음료
31-17-10,음료,2,탄산음료
31-18,음료,2,기타과즙음료
31-18-01,음료,2,기타과즙음료
31-18-02,음료,2,기타과즙음료
31-18-03,음료,2,기타과즙음료
31-19-01,음료,3,기타과즙음료
31-19-02,음료,3,기타과즙음료
31-22,음료,2,탄산음료
31-22-02,음료,2,탄산음료
31-22-06,음료,2,탄산음료
31-23,음료,1,탄산음료
31-24,음료,2,탄산음료
31-24-01,음료,2,탄산음료
31-24-05,음료,2,탄산음료
31-27,음료,2,탄산음료
31-28,음료,1,탄산음료
31-28-01,음료,1,탄산음료
31-28-06,음료,2,탄산음료
31-29,음료,2,탄산음료
31-40,음료,2,커피
31-40-10,음료,2,커피
31-42,음료,2,탄산음료
31-42-01,음료,2,탄산음료
31-42-02,음료,2,탄산음료
31-42-04,음료,2,탄산음료
31-43,음료,3,탄산음료
31-44,음료,1,탄산음료
31-44-01,음료,1,탄산음료
31-44-02,음료,1,탄산음료
31-44-05,음료,1,탄산음료
31-44-08,음료,1,탄산음료
31-45,음료,1,탄산음료
31-46,음료,1,탄산음료
31-46-02,음료,1,탄산음료
31-47,음료,2,탄산음료
31-47-01,음료,2,탄산음료
31-47-02,음료,2,탄산음료
31-47-03,음료,2,탄산음료
31-47-04,음료,2,탄산음료
31-47-05,음료,1,탄산음료
31-47-06,음료,2,탄산음료
31-47-07,음료,2,탄산음료
31-47-09,음료,1,탄산음료
31-47-10,음료,2,탄산음료
31-47-11,음료,2,탄산음료
31-47-12,음료,2,탄산음료
31-47-13,음료,2,탄산음료
31-47-14,음료,2,탄산음료
31-50,음료,2,이온
31-50-01,음료,1,이온
31-50-02,음료,1,이온
31-50-03,음료,2,이온
31-50-04,음료,1,이온
31-55,음료,2,탄산음료
31-91-04,음료,3,기타과즙음료
32,음료,1,기타과즙음료
32-01,음료,1,기타과즙음료
32-01-02,음료,2,기타과즙음료
32-01-03,음료,2,기타과즙음료
32-01-05,음료,1,기타과즙음료
32-01-06,음료,1,기타과즙음료
32-01.,음료,1,기타과즙음료
32-02,음료,1,기타과즙음료
32-05,음료,1,기타과즙음료
32-11,음료,1,기타과즙음료
32-13,음료,1,기타과즙음료
32-13-01,음료,3,기타과즙음료
32-13-02,식품,3,과일 통조림
32-16-04,음료,2,기타과즙음료
32-16-05,음료,2,탄산음료
32-16-06,음료,2,탄산음료
32-16-07,음료,2,탄산음료
32-16-08,음료,2,탄산음료
32-16-11,음료,2,탄산음료
32-17-30-01,식품,1,
32-176-30-01,식품,1,양념장
32-176-30-02,식품,1,양념장
32-18,음료,2,기타과즙음료
32-18-01,음료,2,기타과즙음료
32-19,음료,2,기타과즙음료
32-19-01,음료,2,기타과즙음료
32-19-02,음료,2,기타과즙음료
32-19-03,음료,2,기타과즙음료
32-19-04,음료,2,기타과즙음료
32-19-06,음료,2,기타과즙음료
32-21,음료,2,기타과즙음료
32-25,음료,1,기타과즙음료
32-26,음료,1,기타과즙음료
32-30,음료,1,기타과즙음료
32-30-01,음료,1,기타과즙음료
32-30-02,음료,2,기타과즙음료
32-30-03,음료,1,기타과즙음료
32-34,식품,1,
32-40,음료,2,탄산음료
32-42-30-01,식품,1,
32-43-30-01,식품,1,기타
32-71,음료,2,기타과즙음료
32-72,음료,2,기타과즙음료
34-01-01,음료,1,병류
34-01-02,음료,1,꿀물
34-05,식품,1,면류
34-05-01,식품,1,면류
34-05-02,식품,1,면류
34-20,음료,2,차
34-20-01,음료,2,차
34-21,음료,2,기타과즙음료
35-01,음료,3,차
35-02,음료,3,차
35-05,음료,3,차
35-06,음료,3,차
35-07,음료,3,식혜류
35-08,음료,3,기타과즙음료
35-10,음료,3,기타과즙음료
35-14,음료,1,기타과즙음료
35-16,음료,3,기타과즙음료
35-16-01,음료,3,기타과즙음료
35-16-02,음료,3,기타과즙음료
35-18,음료,3,기타과즙음료
35-18-01,음료,3,기타과즙음료
35-18-02,음료,3,기타과즙음료
35-18-03,음료,3,탄산음료
35-18-05,음료,3,기타과즙음료
35-18-06,음료,3,기타과즙음료
35-18-07,음료,3,기타과즙음료
35-18-08,음료,3,기타과즙음료
35-18-09,음료,3,기타과즙음료
35-18-10,음료,3,커피
35-18-11,음료,3,커피
35-27,음료,3,기타과즙음료
35-27-01,음료,3,기타과즙음료
35-27-02,음료,3,기타과즙음료
35-41,음료,3,커피
35-42,음료,3,커피
359-271-140-01,식품,1,기타조미료
36-01,식품,1,기타
36-02,식품,1,기타
36-04,식품,1,기타
36-111,식품,1,기타
36-152-20-02,식품,1,
36-167-10-01,식품,1,기타조미료
36-167-150-01,식품,1,기타조미료
36-19,식품,1,기타조미료
36-227-20-01,식품,1,
36-227-20-03,식품,1,
36-40,음료,2,
36-41,음료,2,기타과즙음료
36-42,음료,2,
36-43,음료,2,
36-44,음료,2,
36-50,음료,1,
36-51,음료,1,
36-52,음료,1,
36-53,음료,1,기타과즙음료
36-83-03,식품,1,기타
36-83-04,식품,1,기타
36-83-05,식품,1,기타
36-83-06,식품,1,기타
36-83-07,식품,1,기타
365-203-10-01,식품,1,기타조미료
37-01,식품,1,세탁/세제류
37-01.,식품,1,세탁/세제류
37-02,식품,1,세탁/세제류
37-02.,식품,1,세탁/세제류
37-06,식품,1,세탁/세제류
37-09,식품,1,세탁/세제류
38-09,음료,1,비타박카스
38-09-03,음료,1,비타박카스
39-01,식품,1,면류
39-02,식품,1,햇반
39-03,식품,1,면류
39-126-06,식품,1,햇반
39-167-10-04,식품,1,기타조미료
39-167-180-01,식품,1,기타조미료
39-174-10-01,식품,1,
39-213-10-01,식품,1,
39-22,식품,1,3분요리
39-223-20-02,식품,1,
39-226-180-01,식품,1,기타조미료
39-23,식품,1,3분요리
39-247-30-01,식품,1,기타조미료
39-247-68-01,식품,1,기타조미료
39-25,식품,1,
39-29..,식품,1,햇반
39-308-200-02,식품,1,양념장
39-33,식품,1,면류
39-34,식품,1,면류
39-39-10-02,식품,1,기타조미료
39-60-01-01,식품,1,기타조미료
39-60-30-02,식품,1,기타조미료
39-80..,식품,1,식용유
39-84-06,식품,1,면류
39-88-10-02,식품,1,기타조미료
39-91,식품,1,라면류
39-91-01,식품,1,라면류
39-93,식품,1,라면류
39-94,식품,1,라면류
39-94-01,식품,1,햇반
39-98-20-01,식품,1,
40-09,식품,1,세탁/세제류
40-09-01,식품,1,세탁/세제류
40-09-02,식품,1,세탁/세제류
40-10,식품,1,세탁/세제류
40-10-01,식품,1,세탁/세제류
40-10-02,식품,1,세탁/세제류
40-10-06,식품,1,세탁/세제류
41-05,식품,1,면세
41-05-01,식품,1,면세
41-19,식품,1,식용유
41-190-10-01,식품,1,
41-51,식품,1,식용유
42-36,식품,2,기타조미료
42-36-01,식품,2,기타조미료
42-76,식품,,
42-77,식품,,
45-05,선물세트,1,선물세트
45-06,선물세트,1,선물세트
45-07,선물세트,1,선물세트
45-07-03,선물세트,1,선물세트
45-08,선물세트,1,선물세트
45-09-01,선물세트,1,선물세트
45-10-01,선물세트,1,선물세트
45-10-05,선물세트,1,선물세트
45-10-09,선물세트,1,선물세트
45-10-10,선물세트,1,선물세트
45-11,선물세트,1,선물세트
45-12,식품,1,스팸류
45-12-04,선물세트,1,선물세트
45-12-06,선물세트,1,선물세트
45-18-01,선물세트,1,선물세트
45-18-02,선물세트,1,선물세트
45-192-120-01,식품,1,세탁/세제류
45-20-+01,선물세트,1,선물세트
45-20-02,선물세트,1,선물세트
45-21,선물세트,1,선물세트
45-27,선물세트,1,선물세트
45-28,선물세트,1,선물세트
46-04,식품,1,골뱅이
46-04-01,식품,1,골뱅이
46-04-02,식품,1,골뱅이
46-07,식품,1,과일 통조림
48-01,식품,1,기타
48-34,식품,1,스낵류
48-69,음료,1,
48-69-01,음료,1,
48-69-02,음료,1,
48-69-03,음료,1,
48-69-04,음료,1,기타과즙음료
48-69-05,음료,1,차
480,음료,1,생수
50-00,선물세트,1,선물세트
50-01,선물세트,1,선물세트
50-02,선물세트,1,선물세트
50-03,선물세트,1,선물세트
50-04,선물세트,1,선물세트
50-05,선물세트,1,선물세트
50-07,선물세트,1,선물세트
50-18,선물세트,1,선물세트
50-20-01,선물세트,1,선물세트
50-21-01,선물세트,1,선물세트
50-24-01,선물세트,1,선물세트
50-32,선물세트,1,선물세트
50-39,선물세트,1,선물세트
50-40,선물세트,1,선물세트
50-71,선물세트,1,선물세트
50-71-01,선물세트,1,선물세트
50-71-02,선물세트,1,선물세트
50-71-03,선물세트,1,선물세트
50-72,선물세트,1,선물세트
50-72-01,선물세트,1,선물세트
50-72-02,선물세트,1,선물세트
50-75,선물세트,1,선물세트
50-75-02,선물세트,1,선물세트
50-99,식품,1,
51-30,선물세트,1,선물세트
51-30-01,선물세트,1,선물세트
51-30-02,선물세트,1,선물세트
51-30-03,선물세트,1,선물세트
51-31,선물세트,1,선물세트
52-004,식품,1,
52-167-04-01,식품,1,기타조미료
52-176-30-01,식품,1,양념장
52-27,선물세트,1,선물세트
52-272-30-01,식품,1,기타조미료
52-55.,음료,3,기타과즙음료
52-86,식품,1,
52-86-01,식품,1,
52-86-02,식품,1,
53-01,식품,1,식용유
53-01-02,식품,1,기타
53-01-04,식품,1,기타
53-01-08,식품,1,기타
53-01-12,식품,1,기타
53-03,식품,1,김
53-03-01,식품,1,김
53-04-02,식품,1,기타
54-01,식품,1,라면류
54-02,식품,1,라면류
54-03,식품,1,라면류
54-07,식품,1,라면류
54-10,식품,1,라면류
54-100,음료,1,이온
54-101,음료,1,이온
54-102,음료,1,이온
54-20,식품,1,라면류
54-21,식품,1,라면류
54-21-01,식품,1,라면류
54-21-03,식품,1,라면류
54-55,식품,1,라면류
55-01,음료,1,비타박카스
55-01-02,음료,1,비타박카스
55-01-04,식품,1,기타
55-01-05,식품,1,기타
55-01-06,식품,1,기타
55-01-07,식품,1,기타
55-04,음료,1,차
55-08,선물세트,1,선물세트
55-09,음료,0.5,비타박카스
55-38,음료,1,차
55-38-01,음료,1,차
55-72,식품,1,
566-899-88-88,식품,1,
57-02,식품,1,스팸류
57-04,식품,1,스팸류
58-01-01,식품,1,스팸류
588-988-78-88,식품,1,
61-58,식품,1,기타즉석식품
61-77,음료,1,차
61-77-02,음료,1,기타과즙음료
62-39,식품,1,
62-39-01,식품,1,
62-39-02,식품,1,
62-39-03,식품,1,
638-134-50-01,식품,1,식용유
64-01-02,식품,1,기타
64-245-10-01,식품,1,기타조미료
65-01,음료,2,병류
65-02,음료,1,병류
65-03,음료,1,병류
65-03-06,음료,1,병류
65-05,식품,1,
65-53,식품,1,스낵류
65-53-01,식품,1,스낵류
65-53-02,식품,1,스낵류
66-01,식품,1,스낵류
66-01-01,식품,1,스낵류
66-07,식품,1,스낵류
67-01,식품,1,건강 식품
67-01-01,식품,1,건강 식품
67-01-02,식품,1,건강 식품
67-02,식품,1,건강 식품
67-03,식품,1,건강 식품
67-04,식품,1,건강 식품
67-73,식품,1,기타
67-73-01,식품,1,기타
67-74,식품,1,스낵류
67-74-01,식품,1,스낵류
67-85-93-01,식품,1,
68-01,선물세트,1,건강 식품
68-02,식품,1,건강 식품
68-03,선물세트,1,건강 식품
68-04,선물세트,1,건강 식품
68-177-05-05,식품,1,
68-177-05-06,식품,1,
68-177-05-07,식품,1,
68-177-05-08,식품,1,
68-205-01-02,식품,1,
68-205-04-02,음료,1,
68-300-01-01,식품,1,
69-01,식품,1,건강 식품
76-152-20-02,식품,1,
77-01,식품,,
79-01-01,식품,1,기타
79-02-01,식품,1,기타
79-02-02,식품,1,기타
79-02-03,식품,1,기타
798-777-85-88,식품,1,설탕
80-06,음료,2,커피
80-07,음료,2,커피
80-08,음료,2,커피
80-09,음료,2,커피
80-24,식품,1,면세
80-26,식품,1,면세
80-26-02,식품,1,면세
80-26-04,식품,1,면세
80-26-06,식품,1,면세
80-26-07,식품,1,
81-04,식품,1,라면류
81-12,음료,1,기타과즙음료
81-12-02,음료,3,기타과즙음료
81-20,식품,1,햇반
81-20-01,식품,1,햇반
81-22-01,음료,1,커피
81-22-02,음료,1,커피
81-22-03,음료,1,커피
81-25,음료,2,식혜류
81-26,음료,1,비타박카스
81-27,음료,1,커피
81-28,음료,1,커피
81-29,음료,1,커피
81-30,음료,1,커피
81-35-02,식품,2,
81-40,음료,1,비타박카스
81-43,식품,1,세탁/세제류
81-44,식품,1,면세
81-44-01,식품,1,면세
81-49,음료,3,두유
81-51,음료,3,두유
81-57,음료,1,탄산음료
81-57-01,음료,1,탄산음료
81-58,식품,1,기타
81-61,식품,1,
81-63,음료,1,기타과즙음료
81-67,음료,3,두유
81-68,음료,3,두유
81-69,음료,3,두유
81-71,음료,1,두유
81-72,음료,1,비타박카스
81-90,식품,1,면류
81-91,식품,1,면류
82-01,식품,1,참치캔
82-05,음료,1,기타과즙음료
82-311-08-03,음료,1,
82-311-08-04,음료,1,
82-311-08-06,음료,1,
83-62,선물세트,1,선물세트
83-62-01,선물세트,1,선물세트
846-78-88-88,식품,1,
846-966-66-66,식품,1,
85-5-8-85,식품,1,
855-753-85-78,식품,1,기타조미료
855-869-79-85,음료,1,기타과즙음료
86-06-20-01,식품,1,면류
86-116-10-01,식품,1,
86-152-20-04,식품,1,
86-300-10-03,식품,1,
86-300-20-06,식품,1,
86-300-20-08,식품,1,
86-66-04-01,식품,1,
86-66-05-02,식품,1,
86-66-05-0211,음료,1,
86-66-05-03,식품,1,
86-96-20-01,식품,1,
88-05,식품,1,기타
89-49-03-01,식품,1,
92-288-20-02,식품,1,
92-288-20-03,식품,1,기타조미료
92-288-20-04,식품,1,
92-288-86-01,식품,1,
92-288-86-02,식품,1,
93-121-02-01,식품,1,
93-141-200-01,식품,1,
93-326-10-02,식품,1,기타조미료
94-01-04-01,식품,1,기타조미료
94-01-04-07,식품,1,기타조미료
94-01-04-08,식품,1,기타조미료
94-01-04-09,식품,1,기타조미료
94-01-04-10,식품,1,기타조미료
94-141-200-01,식품,1,
94-144-01-01,식품,1,
94-221-01-01,식품,1,
94-28-03-01,식품,1,
94-35-02-01,식품,1,
94-66-58-55,식품,1,기타조미료
95-256-09-01,식품,1,과일 통조림
95-35-02-01,식품,1,
951-855-87-25,식품,1,
955-888-777-88,식품,1,기타조미료
96-177-05-01,식품,1,
96-216-04-01,식품,1,
96-216-20-01,식품,1,
97-144-01-01,식품,1,
97-183-30-01,식품,1,설탕
97-193-30-01,식품,1,설탕
97-221-01-01,식품,1,
97-25-02-01,식품,1,
97-32-04-01,식품,1,
97-35-01-01,식품,1,
97-40-04-01,식품,1,
97-42-20-01,식품,1,
976-581-05-01,식품,1,
98-303-10-02,식품,1,
98-40-05-01,식품,1,
99-79-10-01,식품,1,기타
BT10EA-28-43-01,식품,1,건강 식품
45-07-06,선물세트,1,선물세트
45-07-05,선물세트,1,선물세트
45-07-08,선물세트,1,선물세트
45-07-09,선물세트,1,선물세트
45-20-05,선물세트,1,선물세트
45-12-05,선물세트,1,선물세트
50-71-05,선물세트,1,선물세트
50-71-06,선물세트,1,선물세트
50-75-05,선물세트,1,선물세트
