상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,리테일규격,입수,품절여부
8803993705868,8803993705868,"동서 리치스 홀커널 스위트콘 덕용 (태국) 2,950kg",22630.0,22630.0,0.0,0.0,0.0,,,,"2,950kg",5,N
8803993708975,8803993708975,동서 리치스 후르츠칵테일 850g,36060.0,36060.0,0.0,0.0,0.0,,,,850g,12,N
8803993708913,8803993708913,동서 리치스 후르츠칵테일3kg,59290.0,59290.0,0.0,0.0,0.0,,,,3kg,5,N
8803993705851,8803993705851,동서 리치스홀커널스위트콘 소 (태국) 425g,23120.0,23120.0,0.0,0.0,0.0,,,,425g,24,N
8801037064216,8801037064216,동서 맥스웰 커피믹스 마일드 자판기용 900g,78100.0,78100.0,0.0,0.0,0.0,,,,900g,12,N
8801037086188,8801037086188,동서 스타벅스 병커피 281ml,36160.0,36160.0,0.0,0.0,0.0,,,,281ml,16,N
8801037086195,8801037086195,동서 스타벅스 프라푸치노 모카 281ml,36060.0,36060.0,0.0,0.0,0.0,,,,281ml,16,N
8801037029338,8801037029338,맥심 모카골드(180T+20T),111720.0,111720.0,0.0,0.0,0.0,,,,180*20,4,N
8801097136618,8801097136618,동아 나랑드사이다 제로 파인애플  245ml,27300.0,27300.0,0.0,0.0,0.0,,,,245ml,60,N
8801097234222,8801097234222,동아 오란씨 파인애플 1.5L,18300.0,18300.0,0.0,0.0,0.0,,,,1.5L,12,N
8801097150034,8801097150034,동아오츠카 포카리스웨트 1.5L,27600.0,27600.0,0.0,0.0,0.0,,,,1.5L,12,N
8806011615408,8806011615408,동아제약 박카스F 120ml,36840.0,36840.0,0.0,0.0,0.0,,,,120ml,50,N
8801097134416,8801097134416,동아제약 오란씨 오렌지맛 250ml,27040.0,27040.0,0.0,0.0,0.0,,,,250ml,60,N
8801097134218,8801097134218,동아제약 오란씨 파인애플맛 250ml,27340.0,27340.0,0.0,0.0,0.0,,,,250ml,60,N
8801097150096,8801097150096,동아제약 포카리스웨트 340ml,35200.0,35200.0,0.0,0.0,0.0,,,,340ml,48,N
8801097150010,8801097150010,동아제약 포카리스웨트 캔 245ml,39390.0,39390.0,0.0,0.0,0.0,,,,240ml,60,N
8801047123774,8801047123774,동원 고추참치 250g,110540.0,110540.0,0.0,0.0,0.0,,,,250g,36,N
8801047284154,8801047284154,동원 보성녹차 1.5L,13500.0,13500.0,0.0,0.0,0.0,,,,1.5L,12,N
8801047283447,8801047283447,동원 보성녹차 340ml,13320.0,13320.0,0.0,0.0,0.0,,,,350ml,24,N
8801047284482,8801047284482,동원 보성홍차 아이스티 제로 복숭아맛 500ml,19300.0,19300.0,0.0,0.0,0.0,,,,500ml,24,N
8801047111283,8801047111283,동원 살코기 참치 1.88K(덕용),82410.0,82410.0,0.0,0.0,0.0,,,,1.88K,6,N
8801047288114,8801047288114,동원 샘물 500ml,6170.0,6170.0,0.0,0.0,0.0,,,,500ml,20,N
8801047289647,8801047289647,동원 옥수수수염차 350ml,13620.0,13620.0,0.0,0.0,0.0,,,,350ml,24,N
8801047146353,8801047146353,동원 자연산골뱅이 140g,139550.0,139550.0,0.0,0.0,0.0,,,,140,48,N
8801047146322,8801047146322,동원 자연산골뱅이 400g,164830.0,164830.0,0.0,0.0,0.0,,,,400g,24,N
8801047578390,8801047578390,동원 친친오리지널 치즈 소시지 80g,58800.0,58800.0,0.0,0.0,0.0,,,,80g,100,N
8801047291138,8801047291138,동원 쿨피스 복숭아맛 230ml,25000.0,25000.0,0.0,0.0,0.0,,,,230ml,60,N
8801047290100,8801047290100,동원 쿨피스복숭아 350ml,27340.0,27340.0,0.0,0.0,0.0,,,,350ml,48,N
8801047288213,8801047288213,동원 샘물2L,5480.0,5480.0,0.0,0.0,0.0,,,,2L,6,N
8801047116295,8801047116295,동원참치 마일드 200g,80450.0,80450.0,0.0,0.0,0.0,,,,200g,36,N
8801047111917,8801047111917,동원참치 살코기 200g,79670.0,79670.0,0.0,0.0,0.0,,,,200g,36,N
8809205060039,8809205060039,동표 을지로골뱅이 140g,162680.0,162680.0,0.0,0.0,0.0,,,,140g,48,N
8809205060053,8809205060053,동표 을지로골뱅이 230g,117110.0,117110.0,0.0,0.0,0.0,,,,230g,24,N
8806016310018,8806016310018,동화 까스활 75ml,46840.0,46840.0,0.0,0.0,0.0,,,,75ml,60,N
8801007650456,8801007650456,때가 쏙 비트 4.5kg,34000.0,34000.0,0.0,0.0,0.0,,,,4.5kg,3,N
8806325601074,8806325601074,라이온 비트 2.7kg,25080.0,25080.0,0.0,0.0,0.0,,,,2.7,4,N
8801123602131,8801123602131,로스팜 97% 마일드 340g,74380.0,74380.0,0.0,0.0,0.0,,,,340g,24,N
8801056839017,8801056839017,롯데 게토레이 1.5L,21750.0,21750.0,0.0,0.0,0.0,,,,1.5L,12,N
8801123600328,8801123600328,롯데 런천미트 340g,49680.0,49680.0,0.0,0.0,0.0,,,,340g,24,N
8801056831011,8801056831011,롯데 솔의눈 240ml,38900.0,38900.0,0.0,0.0,0.0,,,,240ml,60,N
8801056063245,8801056063245,롯데 수미네잔치집 식혜 340ml,26650.0,26650.0,0.0,0.0,0.0,,,,340ml,48,N
8801056297015,8801056297015,롯데 실론티 250ml,31500.0,31500.0,0.0,0.0,0.0,,,,250ml,60,N
3068320024400,3068320024400,롯데 에비앙 미네랄워터 500ml,25000.0,25000.0,0.0,0.0,0.0,,,,500ml,24,N
8801056048129,8801056048129,롯데 칸타타 프리미엄라떼 캔 175ml,65400.0,65400.0,0.0,0.0,0.0,,,,175ml,90,N
1000577670004,1000577670004,롯데 펩시콜라 (업소용) 355ml,30670.0,30670.0,0.0,0.0,0.0,,,,355ml,48,N
8801056028855,8801056028855,롯데 펩시콜라 190ml,39400.0,39400.0,0.0,0.0,0.0,,,,190ml,90,N
8801056610012,8801056610012,롯데 펩시콜라 250ml,40500.0,40500.0,0.0,0.0,0.0,,,,250ml,60,N
1000577670003,1000577670003,롯데 펩시콜라 제로슈거 라임향 (업소용) 355ml,30670.0,30670.0,0.0,0.0,0.0,,,,355ml,48,N
8801056836016,8801056836016,롯데칠성 게토레이 240ml,28320.0,28320.0,0.0,0.0,0.0,,,,240ml,60,N
8801056049201,8801056049201,롯데칠성 게토레이 600ml,21850.0,21850.0,0.0,0.0,0.0,,,,600ml,20,N
8801056290016,8801056290016,롯데칠성 레쓰비 캔 175ml,33120.0,33120.0,0.0,0.0,0.0,,,,175ml,90,N
8801056716011,8801056716011,롯데칠성 마운틴듀 355ml,30000.0,30000.0,0.0,0.0,0.0,,,,355ml,48,N
8801056201012,8801056201012,롯데칠성 밀키스 1.5L,22100.0,22100.0,0.0,0.0,0.0,,,,1.5L,12,N
8801056154011,8801056154011,롯데칠성 밀키스 250ml,37700.0,37700.0,0.0,0.0,0.0,,,,250ml,60,N
1000577670006,1000577670006,롯데칠성 사이다 (업소용) 355ml,33710.0,33710.0,0.0,0.0,0.0,,,,355ml,48,N
8801056192013,8801056192013,롯데칠성 사이다 500ml,28700.0,28700.0,0.0,0.0,0.0,,,,500ml,20,N
8801056177553,8801056177553,롯데칠성 사이다 제로 1.5L,27300.0,27300.0,0.0,0.0,0.0,,,,1.5L,12,N
