상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,수수료raw,옵션번호,옵션명
249929,29-04-02,일화 천연사이다 350ml 24개,12900.0,18900.0,3000.0,0.0,0.0,,,,4.5,510622,일화 천연사이다 350ml 24개
249928,31-03-02,몬스터 에너지 드링크 오리지날 그린 355ml 24개,34500.0,40500.0,3000.0,0.0,0.0,,,,4.5,510621,몬스터 에너지 드링크 오리지날 그린 355ml 24개
249927,31-03-03,몬스터에너지 울트라시트라 355ml 24개,32100.0,38700.0,3000.0,0.0,0.0,,,,4.5,510620,몬스터에너지 울트라시트라 355ml 24개
249926,31-03-01,몬스터 에너지 드링크 울트라 355ml 24개,35500.0,41500.0,3000.0,0.0,0.0,,,,4.5,510619,몬스터 에너지 드링크 울트라 355ml 24개
249925,31-03,코카콜라 355ml 24개 (바코드 있음_특수채널용),20900.0,27900.0,3000.0,0.0,0.0,,,,4.5,510618,코카콜라 355ml 24개 (바코드 있음_특수채널용)
249924,28-04,동아제약 포카리스웨트 340ml 24개,16800.0,22800.0,3000.0,0.0,0.0,,,,4.5,510617,동아제약 포카리스웨트 340ml 24개
249923,32-30,해태 갈아만든배 1.5L 12개,33200.0,39200.0,3000.0,0.0,0.0,,,,4.5,510616,해태 갈아만든배 1.5L 12개
249922,31-04-01,코카콜라 500ml 24개,39500.0,45500.0,3000.0,0.0,0.0,,,,4.5,510615,코카콜라 500ml 24개
249920,27-25,롯데칠성 사이다 500ml 20개,27300.0,33300.0,3000.0,0.0,0.0,,,,4.5,510613,롯데칠성 사이다 500ml 20개
249919,12-18-11,동원 쿨피스복숭아 350ml 24개,12900.0,18100.0,3000.0,0.0,0.0,,,,4.5,510612,동원 쿨피스복숭아 350ml 24개
249918,29-08-01,일화 탑씨 콜라 1.5L 12개,12600.0,16600.0,3000.0,0.0,0.0,,,,4.5,510611,일화 탑씨 콜라 1.5L 12개
249917,27-05,롯데 솔의눈 240ml 30개,18700.0,24700.0,3000.0,0.0,0.0,,,,4.5,510610,롯데 솔의눈 240ml 30개
249916,27-24-01,게토레이 1.5L 12개,22800.0,29400.0,3000.0,0.0,0.0,,,,4.5,510609,게토레이 1.5L 12개
249915,31-50-03,토레타 355ml 24개,15200.0,19400.0,3000.0,0.0,0.0,,,,4.5,510608,토레타 355ml 24개
249914,27-03,롯데 실론티 240ml 30개,14900.0,20900.0,3000.0,0.0,0.0,,,,4.5,510607,롯데 실론티 240ml 30개
249913,20-03-01,광동 옥수수수염차 1.5L 12개,16700.0,22700.0,3000.0,0.0,0.0,,,,4.5,510606,광동 옥수수수염차 1.5L 12개
249911,25-50-01,진로 토닉워터 300ml 24개,16000.0,22000.0,3000.0,0.0,0.0,,,,4.5,510604,진로 토닉워터 300ml 24개
249910,25-50-08,하이트진로 토닉워터 홍차 제로 300ml PET 24입,16200.0,22200.0,3000.0,0.0,0.0,,,,4.5,510603,하이트진로 토닉워터 홍차 제로 300ml PET 24입
249909,20-01-01,광동 옥수수수염차 340ml 20개,14700.0,20700.0,3000.0,0.0,0.0,,,,4.5,510602,광동 옥수수수염차 340ml 20개
249908,27-014,롯데칠성 핫식스 355ml  24캔,20900.0,26900.0,3000.0,0.0,0.0,,,,4.5,510601,롯데칠성 핫식스 355ml  24캔
249907,31-28,코카콜라 제로 500ml 24개,35900.0,46300.0,3000.0,0.0,0.0,,,,4.5,510600,코카콜라 제로 500ml 24개
249906,32-19-04,해태 코코팜 화이트요구르트 캔 340ml 24개,15100.0,21100.0,3000.0,0.0,0.0,,,,4.5,510599,해태 코코팜 화이트요구르트 캔 340ml 24개
249905,32-19-03,해태 코코팜 포도 340ml 캔 24개,15100.0,21100.0,3000.0,0.0,0.0,,,,4.5,510598,해태 코코팜 포도 340ml 캔 24개
249904,27-01-01,롯데칠성 사이다 캔 250ml 30개,23000.0,29000.0,3000.0,0.0,0.0,,,,4.5,510597,롯데칠성 사이다 캔 250ml 30개
249903,22-11-01,팔도 뽀로로 사과맛 235ml 24개,18700.0,24700.0,3000.0,0.0,0.0,,,,7,510596,팔도 뽀로로 사과맛 235ml 24개
249902,22-10,팔도 뽀로로 딸기맛 235ml 24개,18700.0,24700.0,3000.0,0.0,0.0,,,,7,510595,팔도 뽀로로 딸기맛 235ml 24개
249901,22-13-01,귀여운 내친구 뽀로로 샤인머스켓맛 235ml 24개,18700.0,24700.0,3000.0,0.0,0.0,,,,7,510594,귀여운 내친구 뽀로로 샤인머스켓맛 235ml 24개
249900,22-11,팔도 뽀로로 밀크맛 235ml 24개,18700.0,24700.0,3000.0,0.0,0.0,,,,7,510593,팔도 뽀로로 밀크맛 235ml 24개
249899,29-22,일화 천연사이다 250ml 30개,12900.0,18900.0,3000.0,0.0,0.0,,,,4.5,510592,일화 천연사이다 250ml 30개
249898,28-24-07,동아 나랑드사이다 제로 500ml 24개,18200.0,23200.0,3000.0,0.0,0.0,,,,4.5,510591,동아 나랑드사이다 제로 500ml 24개
249897,31-09-06,스프라이트 500ml 24개(업소용),16100.0,20600.0,3000.0,0.0,0.0,,,,4.5,510590,스프라이트 500ml 24개(업소용)
249896,31-17-01,스프라이트 250ml 30개,19100.0,24100.0,3000.0,0.0,0.0,,,,4.5,510589,스프라이트 250ml 30개
249894,25-50-04,진로 토닉워터 캔 250ml 30개,14900.0,20900.0,3000.0,0.0,0.0,,,,4.5,510587,진로 토닉워터 캔 250ml 30개
249893,29-19,일화 맥콜 캔 190ml 30개,10700.0,16700.0,3000.0,0.0,0.0,,,,4.5,510586,일화 맥콜 캔 190ml 30개
249891,27-28-01,롯데칠성 사이다 1.5L 12개,28900.0,34900.0,3000.0,0.0,0.0,,,,4.5,510584,롯데칠성 사이다 1.5L 12개
249889,35-07,참맑은 식혜 175ml 30개,8600.0,14600.0,3000.0,0.0,0.0,,,,4.5,510582,참맑은 식혜 175ml 30개
249885,27-04-03,롯데칠성 밀키스 1.5L 12개,20200.0,26200.0,3000.0,0.0,0.0,,,,4.5,510578,롯데칠성 밀키스 1.5L 12개
249883,27-04-02,롯데칠성 밀키스 500ml 20개,20200.0,26200.0,3000.0,0.0,0.0,,,,4.5,510576,롯데칠성 밀키스 500ml 20개
249882,35-16,참맑은 참대추 175ml 30개,8800.0,14800.0,3000.0,0.0,0.0,,,,4.5,510575,참맑은 참대추 175ml 30개
249881,27-01,롯데칠성 사이다 190ml 30개,13100.0,19100.0,3000.0,0.0,0.0,,,,4.5,510574,롯데칠성 사이다 190ml 30개
249880,35-16-01,참맑은 제주감귤 캔 175ml 30개,8600.0,14600.0,3000.0,0.0,0.0,,,,4.5,510573,참맑은 제주감귤 캔 175ml 30개
249879,31-29,캐나다드라이 토닉워터 250ml 30개,16100.0,22100.0,3000.0,0.0,0.0,,,,4.5,510572,캐나다드라이 진저엘 250ml 30개
249878,31-55,캐나다드라이 클럽소다 250ml 30개,16100.0,22100.0,3000.0,0.0,0.0,,,,4.5,510571,캐나다드라이 클럽소다 250ml 30개
249877,31-05,코카콜라 1.5L 12개,35400.0,45500.0,3000.0,0.0,0.0,,,,4.5,510570,코카콜라 1.5L 12개
249876,31-01-05,코카콜라 250ml 30개,28600.0,34700.0,3000.0,0.0,0.0,,,,4.5,510569,코카콜라 250ml 30개
249874,29-04,일화 초정탄산수 1.5L 12개,14700.0,20700.0,3000.0,0.0,0.0,,,,4.5,510567,일화 초정탄산수 1.5L 12개
249870,28-02,동아오츠카 포카리스웨트 1.5L 12개,25900.0,31900.0,3000.0,0.0,0.0,,,,4.5,510563,동아오츠카 포카리스웨트 1.5L 12개
249869,27-02,이프로 부족할때 제로 240ml 30개,15900.0,21900.0,3000.0,0.0,0.0,,,,4.5,510562,이프로 부족할때 제로 240ml 30개
249868,31-03-07,몬스터 에너지 망고로코 355ml 24개,34600.0,40600.0,3000.0,0.0,0.0,,,,4.5,510561,몬스터 에너지 망고로코 355ml 24개
249867,31-50-01,토레타 500ml 24개,22200.0,27900.0,3000.0,0.0,0.0,,,,4.5,510560,토레타 500ml 24개
249866,27-04,롯데칠성 밀키스 250ml 30개,18300.0,24300.0,3000.0,0.0,0.0,,,,4.5,510559,롯데칠성 밀키스 250ml 30개
249865,29-10-01,일화 천연사이다 190ml 30개,8700.0,14700.0,3000.0,0.0,0.0,,,,4.5,510558,일화 천연사이다 190ml 30개
249864,31-01-06,코카콜라 제로250ml 30개,25500.0,31500.0,3000.0,0.0,0.0,,,,4.5,510557,코카콜라 제로250ml 30개
249863,27-26,롯데칠성 펩시콜라 1.5L 12개,24600.0,30600.0,3000.0,0.0,0.0,,,,4.5,510556,롯데칠성 펩시콜라 1.5L 12개
249862,22-04-05,비락 수정과 238ml 24개,13700.0,19700.0,3000.0,0.0,0.0,,,,4.5,510555,비락 수정과 238ml 24개
249861,27-330,롯데칠성 마운틴듀 355ml 24개,14200.0,20200.0,3000.0,0.0,0.0,,,,4.5,510554,롯데칠성 마운틴듀 355ml 24개
