상호명,구분,첫확인,출처,비고
도원유통,사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 스마트로지넷,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 훈민유통 (일산현대드림),사업부밖,2026-09-08,사업부 export 20250804-20260908,
#주식회사 아이(아이푸드),사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 코리아무역통상,사업부밖,2026-09-08,사업부 export 20250804-20260908,
#(주)동양할인마트(용정리),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)케이피엘,사업부밖,2026-09-08,사업부 export 20250804-20260908,
농민마트 (수원 권선동),사업부밖,2026-09-08,사업부 export 20250804-20260908,
농민야채청과,사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 미래에프앤비(김포),사업부밖,2026-09-08,사업부 export 20250804-20260908,
정유푸드,사업부밖,2026-09-08,사업부 export 20250804-20260908,
$주) 윈플러스마트-부천점,사업부밖,2026-09-08,사업부 export 20250804-20260908,
대상물류,사업부밖,2026-09-08,사업부 export 20250804-20260908,
만수EDP,사업부밖,2026-09-08,사업부 export 20250804-20260908,
대한유통(나래),사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 고려프린텍,사업부밖,2026-09-08,사업부 export 20250804-20260908,
대명케이물류 (주),사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 양지푸드(굿푸드 시스템)화도마석,사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 더드림푸드(사이버),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)티오피,사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 네모담,사업부밖,2026-09-08,사업부 export 20250804-20260908,
#한국유통(송우리),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 애플씨에스엔,사업부밖,2026-09-08,사업부 export 20250804-20260908,
가락할인마트(양지),사업부밖,2026-09-08,사업부 export 20250804-20260908,
굿모닝마트 교대역점,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# (주)큐원상사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 식자재민족,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 멕스에프에스 (2시30분까지 배송요망),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 에이플러스공조,사업부밖,2026-09-08,사업부 export 20250804-20260908,
제이와이유통판매,사업부밖,2026-09-08,사업부 export 20250804-20260908,
태지유통,사업부밖,2026-09-08,사업부 export 20250804-20260908,
$주)윈플러스마트남부 - 호매실점,사업부밖,2026-09-08,사업부 export 20250804-20260908,
탈북난민인권연합회,사업부밖,2026-09-08,사업부 export 20250804-20260908,
그린미트,사업부밖,2026-09-08,사업부 export 20250804-20260908,
#주식회사 럭키마트(인천) ◆16시까지,사업부밖,2026-09-08,사업부 export 20250804-20260908,
홈&드림(세정유통),사업부밖,2026-09-08,사업부 export 20250804-20260908,
미담푸드,사업부밖,2026-09-08,사업부 export 20250804-20260908,
태영식품,사업부밖,2026-09-08,사업부 export 20250804-20260908,
산리 컴퍼니 (정연),사업부밖,2026-09-08,사업부 export 20250804-20260908,
해인유통,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 영인에프앤지,사업부밖,2026-09-08,사업부 export 20250804-20260908,
바이오스마트약품(주) (구 삼성제약),사업부밖,2026-09-08,사업부 export 20250804-20260908,
금오유통(의정부),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 대영에스앤에프 (구 하일유통),사업부밖,2026-09-08,사업부 export 20250804-20260908,
청주장수촌,사업부밖,2026-09-08,사업부 export 20250804-20260908,
그린월드(기업인협의회),사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 삼원퍼니처,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)농부유통,사업부밖,2026-09-08,사업부 export 20250804-20260908,
기업인협의회(벤처빌딩),사업부밖,2026-09-08,사업부 export 20250804-20260908,
#(주)현대마트둔촌/ 2시이후 배송요망,사업부밖,2026-09-08,사업부 export 20250804-20260908,
강남상사(방배동cj),사업부밖,2026-09-08,사업부 export 20250804-20260908,
농업회사법인 주식회사 중앙물류,사업부밖,2026-09-08,사업부 export 20250804-20260908,
트니컴퍼니 (문정동),사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 검단골프존,사업부밖,2026-09-08,사업부 export 20250804-20260908,
이지테크,사업부밖,2026-09-08,사업부 export 20250804-20260908,
신용AD,사업부밖,2026-09-08,사업부 export 20250804-20260908,
"주,이오에프앤비",사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사대원포티스,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# (주) 에프에스클라우드,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 하우메디케어,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 델몬트광진주식회사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
이 만물,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# (주) 신세계물산,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# (주)서림,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# (주) 하남자동차서비스,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)21세기산업,사업부밖,2026-09-08,사업부 export 20250804-20260908,
현진푸드,사업부밖,2026-09-08,사업부 export 20250804-20260908,
그린식품 (감일동),사업부밖,2026-09-08,사업부 export 20250804-20260908,
푸른유통 롯데델몬트 종로,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 에코숲길 (주),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 세현상사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 왕푸드시스템 (구 이룸),사업부밖,2026-09-08,사업부 export 20250804-20260908,
한미유통(과천),사업부밖,2026-09-08,사업부 export 20250804-20260908,
삼양상사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
청우타이루상사 (주),사업부밖,2026-09-08,사업부 export 20250804-20260908,
만보짱,사업부밖,2026-09-08,사업부 export 20250804-20260908,
대성상사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
이에스컴퍼니 (ES company),사업부밖,2026-09-08,사업부 export 20250804-20260908,
# (주)비젼21 (카드),사업부밖,2026-09-08,사업부 export 20250804-20260908,
검단골프존,사업부밖,2026-09-08,사업부 export 20250804-20260908,
태종코킹,사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 청천바이오,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)루렌타,사업부밖,2026-09-08,사업부 export 20250804-20260908,
태동유통,사업부밖,2026-09-08,사업부 export 20250804-20260908,
모두모아플러스,사업부밖,2026-09-08,사업부 export 20250804-20260908,
천성정밀,사업부밖,2026-09-08,사업부 export 20250804-20260908,
진로마트 수택점,사업부밖,2026-09-08,사업부 export 20250804-20260908,
푸른바다,사업부밖,2026-09-08,사업부 export 20250804-20260908,
딩동댕노래방(현금),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)진우종합상사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
롯데택배 (현금),사업부밖,2026-09-08,사업부 export 20250804-20260908,
# 대영합판,사업부밖,2026-09-08,사업부 export 20250804-20260908,
#모닝티엔씨,사업부밖,2026-09-08,사업부 export 20250804-20260908,
주식회사 쿠기어드벤쳐,사업부밖,2026-09-08,사업부 export 20250804-20260908,
우진유통 주식회사,사업부밖,2026-09-08,사업부 export 20250804-20260908,
반띵마켓 장지동직영점 (판도라),사업부밖,2026-09-08,사업부 export 20250804-20260908,
미가네백반 (현금),사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주) 제이에스엘홀딩스,사업부밖,2026-09-08,사업부 export 20250804-20260908,
사무실,사업부밖,2026-09-08,사업부 export 20250804-20260908,
최상침운반비,사업부밖,2026-09-08,사업부 export 20250804-20260908,
박용인운반비,사업부밖,2026-09-08,사업부 export 20250804-20260908,
황준하운반비,사업부밖,2026-09-08,사업부 export 20250804-20260908,
(주)형제알비,사업부밖,2026-09-08,사업부 export 20250804-20260908,
농업회사법인 주식회사 다올농산푸드,온라인B2B,2026-09-09,사업부 export 20260909-20260909,
주식회사 서원인력,온라인B2B,2026-09-10,사업부 export 20260901-20260910,
주식회사 우일푸드,사업부밖,2026-09-10,사업부 export 20260901-20260910,
아이스크림 ㅋㅋㅋ,사업부밖,2026-09-10,사업부 export 20260901-20260910,
태크트리,사업부밖,2026-09-10,사업부 export 20260901-20260910,
에스지유통,사업부밖,2026-09-10,사업부 export 20260901-20260910,
열매물류,사업부밖,2026-09-10,사업부 export 20260901-20260910,
곱창쟁이,사업부밖,2026-09-10,사업부 export 20260901-20260910,
