ESM카테고리명,사이트카테고리명,사이트,ESM카테고리,사이트카테고리
식품>가공식품>즉석조리/편의식>기타튀김,가공식품>냉동/간편조리식품>기타튀김,G마켓,00030002001900210000,100000036200000642300028689
식품>가공식품>즉석조리/편의식>동그랑땡/완자,가공식품>냉동/간편조리식품>동그랑땡/완자,G마켓,00030002001900220000,100000036200000642300028690
식품>가공식품>즉석조리/편의식>떡갈비,가공식품>축산가공식품>떡갈비,G마켓,00030002001900230000,100000036200002371300028719
식품>가공식품>즉석조리/편의식>기타즉석조리/편의식,가공식품>냉동/간편조리식품>기타냉동/간편조리식품,G마켓,00030002001900250000,100000036200000642300028688
식품>가공식품>즉석조리/편의식>핫도그/햄버거,가공식품>냉동/간편조리식품>핫도그/햄버거,G마켓,00030002001900300000,100000036200000642300016926
식품>가공식품>즉석조리/편의식>감자튀김,가공식품>냉동/간편조리식품>감자튀김,G마켓,00030002001900330000,100000036200000642300028687
식품>가공식품>즉석조리/편의식>전투식량,가공식품>즉석밥>전투식량,G마켓,00030002001900340000,100000036200001211300024647
식품>가공식품>즉석조리/편의식>즉석조리/볶음요리,가공식품>냉동/간편조리식품>즉석조리/볶음요리,G마켓,00030002001900350000,100000036200000642300028693
식품>가공식품>즉석조리/편의식>치즈스틱,가공식품>냉동/간편조리식품>치즈스틱,G마켓,00030002001900360000,100000036200000642300028695
식품>가공식품>즉석조리/편의식>밀키트,가공식품>냉동/간편조리식품>밀키트,G마켓,00030002001900370000,100000036200000642300028697
식품>가공식품>즉석조리/편의식>해물볶음,가공식품>수산가공식품>해물볶음,G마켓,00030002001900380000,100000036200002930300028707
식품>가공식품>즉석조리/편의식>해물탕,가공식품>수산가공식품>해물탕,G마켓,00030002001900390000,100000036200002930300028708
식품>가공식품>즉석조리/편의식>해물튀김,가공식품>수산가공식품>해물튀김,G마켓,00030002001900400000,100000036200002930300028709
식품>가공식품>면류>일반국수,가공식품>면류>국수면,G마켓,00030002002000010000,100000036200002370300012430
식품>가공식품>면류>칼국수/수제비,가공식품>면류>칼국수/수제비,G마켓,00030002002000020000,100000036200002370300024628
식품>가공식품>면류>당면,가공식품>면류>당면,G마켓,00030002002000040000,100000036200002370300028686
식품>가공식품>면류>냉면/소바,가공식품>면류>냉면/소바,G마켓,00030002002000050000,100000036200002370300012428
식품>가공식품>면류>우동,가공식품>면류>우동,G마켓,00030002002000060000,100000036200002370300024631
식품>가공식품>면류>짜장면/짬뽕,가공식품>면류>짜장면/짬뽕,G마켓,00030002002000070000,100000036200002370300012426
식품>가공식품>면류>쫄면/비빔국수,가공식품>면류>쫄면/비빔국수,G마켓,00030002002000080000,100000036200002370300024629
식품>가공식품>면류>파스타/스파게티,가공식품>면류>스파게티/파스타,G마켓,00030002002000090000,100000036200002370300012429
식품>가공식품>면류>쌀국수,가공식품>면류>쌀국수,G마켓,00030002002000100000,100000036200002370300012427
식품>가공식품>면류>또띠야/월남쌈,가공식품>냉동/간편조리식품>또띠야/월남쌈,G마켓,00030002002000110000,100000036200000642300024641
식품>가공식품>면류>라면>봉지라면,가공식품>라면>봉지라면,G마켓,00030002002000120001,100000036200001210300012563
식품>가공식품>면류>라면>컵라면,가공식품>라면>컵라면,G마켓,00030002002000120002,100000036200001210300012564
식품>가공식품>면류>기타면류,가공식품>면류>기타면류,G마켓,00030002002000130000,100000036200002370300028685
식품>가공식품>떡류>떡볶이떡/떡국떡,가공식품>떡>떡볶이떡/떡국떡,G마켓,00030002002100010000,100000036200001206300012406
식품>가공식품>떡류>찹쌀/두텁떡,가공식품>떡>찹쌀/두텁떡,G마켓,00030002002100060000,100000036200001206300010300
식품>가공식품>떡류>인절미,가공식품>떡>인절미,G마켓,00030002002100070000,100000036200001206300012405
식품>가공식품>떡류>송편,가공식품>떡>송편,G마켓,00030002002100120000,100000036200001206300024581
식품>가공식품>떡류>떡케이크/답례떡,가공식품>떡>떡케이크/답례떡,G마켓,00030002002100150000,100000036200001206300012407
식품>가공식품>떡류>기타떡류,가공식품>떡>기타떡,G마켓,00030002002100160000,100000036200001206300024580
식품>가공식품>빵/케이크>식빵/베이글,가공식품>빵/케이크>식빵/베이글,G마켓,00030002002200010000,100000036200000960300012351
식품>가공식품>빵/케이크>찐빵/호빵,가공식품>빵/케이크>찐빵/호빵,G마켓,00030002002200020000,100000036200000960300010297
식품>가공식품>빵/케이크>도너츠,가공식품>빵/케이크>도너츠,G마켓,00030002002200070000,100000036200000960300024578
식품>가공식품>빵/케이크>케이크/머핀,가공식품>빵/케이크>케이크/머핀,G마켓,00030002002200080000,100000036200000960300019758
식품>가공식품>빵/케이크>기타빵/케이크,가공식품>빵/케이크>기타빵/케이크,G마켓,00030002002200170000,100000036200000960300010299
식품>가공식품>빵/케이크>제빵/제과재료,가공식품>빵/케이크>제빵/제과재료,G마켓,00030002002200250000,100000036200000960300028699
식품>가공식품>빵/케이크>호두과자,가공식품>빵/케이크>호두과자,G마켓,00030002002200260000,100000036200000960300012352
식품>가공식품>과자/간식>쿠키/비스킷,가공식품>과자/간식>쿠키/비스킷,G마켓,00030002002300010000,100000036200000370300008232
식품>가공식품>과자/간식>스낵,가공식품>과자/간식>스낵,G마켓,00030002002300020000,100000036200000370300003823
식품>가공식품>과자/간식>한과/전통과자>강정/엿,가공식품>한과/전통과자>강정/엿,G마켓,00030002002300030001,100000036200002363300024583
식품>가공식품>과자/간식>한과/전통과자>기타한과/전통과자,가공식품>한과/전통과자>기타한과/전통과자,G마켓,00030002002300030002,100000036200002363300003822
식품>가공식품>과자/간식>한과/전통과자>약과,가공식품>한과/전통과자>약과,G마켓,00030002002300030003,100000036200002363300021907
식품>가공식품>과자/간식>한과/전통과자>유과,가공식품>한과/전통과자>유과,G마켓,00030002002300030004,100000036200002363300008230
식품>가공식품>과자/간식>한과/전통과자>전병,가공식품>한과/전통과자>전병,G마켓,00030002002300030005,100000036200002363300024584
식품>가공식품>과자/간식>한과/전통과자>한과/전통과자세트,가공식품>한과/전통과자>한과/전통과자세트,G마켓,00030002002300030006,100000036200002363300024585
식품>가공식품>과자/간식>파이류간식,가공식품>과자/간식>파이류간식,G마켓,00030002002300040000,100000036200000370300021908
식품>가공식품>과자/간식>원물간식,가공식품>과자/간식>원물간식,G마켓,00030002002300060000,100000036200000370300028681
식품>가공식품>과자/간식>시리얼,가공식품>과자/간식>시리얼,G마켓,00030002002300070000,100000036200000370300008236
식품>가공식품>과자/간식>기타과자/간식,가공식품>과자/간식>기타과자/간식,G마켓,00030002002300080000,100000036200000370300028678
식품>가공식품>과자/간식>뻥튀기/건빵,가공식품>과자/간식>뻥튀기/건빵,G마켓,00030002002300090000,100000036200000370300007886
식품>가공식품>과자/간식>가공안주류,가공식품>과자/간식>가공안주류,G마켓,00030002002300100000,100000036200000370300008235
식품>가공식품>과자/간식>간식용소시지,가공식품>과자/간식>간식용소시지,G마켓,00030002002300110000,100000036200000370300028677
식품>가공식품>초콜릿/캔디/츄잉류>초콜릿,가공식품>과자/간식>초콜릿,G마켓,00030002002400010000,100000036200000370300028683
식품>가공식품>초콜릿/캔디/츄잉류>사탕,가공식품>과자/간식>사탕,G마켓,00030002002400020000,100000036200000370300028680
식품>가공식품>초콜릿/캔디/츄잉류>젤리,가공식품>과자/간식>젤리,G마켓,00030002002400030000,100000036200000370300028682
식품>가공식품>초콜릿/캔디/츄잉류>캐러멜,가공식품>과자/간식>캐러멜,G마켓,00030002002400050000,100000036200000370300028684
식품>가공식품>초콜릿/캔디/츄잉류>껌,가공식품>과자/간식>껌,G마켓,00030002002400060000,100000036200000370300028679
식품>가공식품>아이스크림/빙수>아이스크림,가공식품>빙과류>아이스크림,G마켓,00030002002500010000,100000036200002361300024573
식품>가공식품>아이스크림/빙수>빙수/빙수재료,가공식품>빙과류>빙수/빙수재료,G마켓,00030002002500020000,100000036200002361300004157
식품>가공식품>가공식품세트>유지류세트,가공식품>식용유/오일>식용유선물세트,G마켓,00030002002600050000,100000036200001207300025628
식품>가공식품>가공식품세트>캔선물세트,가공식품>통조림/캔>캔선물세트,G마켓,00030002002600060000,100000036200001212300025627
식품>가공식품>가공식품세트>반찬세트,신선식품>반찬>반찬세트,G마켓,00030002002600070000,100000020200001222300027811
식품>가공식품>가공식품세트>젓갈세트,신선식품>젓갈류/액젓>젓갈세트,G마켓,00030002002600080000,100000020200001820300024570
식품>가공식품>가공식품세트>차선물세트,커피/음료>차류>차선물세트,G마켓,00030002002600170000,100000094200000390300029215
식품>가공식품>주류>전통주>막걸리,커피/음료>전통주>막걸리,G마켓,00030002002800010001,100000094200002907300028338
식품>가공식품>주류>전통주>약주,커피/음료>전통주>약주,G마켓,00030002002800010002,100000094200002907300028339
식품>가공식품>주류>전통주>과실주,커피/음료>전통주>과실주,G마켓,00030002002800010003,100000094200002907300028340
식품>가공식품>주류>전통주>일반증류주,커피/음료>전통주>일반증류주,G마켓,00030002002800010004,100000094200002907300028341
식품>가공식품>주류>전통주>리큐르,커피/음료>전통주>리큐르,G마켓,00030002002800010005,100000094200002907300028342
식품>가공식품>주류>전통주>소주,커피/음료>전통주>소주,G마켓,00030002002800010006,100000094200002907300028343
식품>가공식품>주류>전통주>기타주류,커피/음료>전통주>기타주류,G마켓,00030002002800010007,100000094200002907300028344
식품>가공식품>통조림>고등어/꽁치캔,가공식품>통조림/캔>고등어/꽁치캔,G마켓,00030002002900010000,100000036200001212300024592
식품>가공식품>통조림>골뱅이/번데기캔,가공식품>통조림/캔>골뱅이/번데기캔,G마켓,00030002002900020000,100000036200001212300012568
식품>가공식품>통조림>과일통조림,가공식품>통조림/캔>과일통조림,G마켓,00030002002900030000,100000036200001212300012440
식품>가공식품>통조림>기타통조림/캔,가공식품>통조림/캔>기타통조림/캔,G마켓,00030002002900040000,100000036200001212300028734
식품>가공식품>통조림>닭가슴살캔,가공식품>통조림/캔>닭가슴살캔,G마켓,00030002002900050000,100000036200001212300024594
식품>가공식품>통조림>반찬통조림,가공식품>통조림/캔>반찬통조림,G마켓,00030002002900060000,100000036200001212300024593
식품>가공식품>통조림>야채통조림,가공식품>통조림/캔>야채통조림,G마켓,00030002002900070000,100000036200001212300012435
식품>가공식품>통조림>참치캔,가공식품>통조림/캔>참치캔,G마켓,00030002002900080000,100000036200001212300012436
식품>가공식품>통조림>햄통조림,가공식품>통조림/캔>햄통조림,G마켓,00030002002900090000,100000036200001212300012437
