상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
1006388,PC004163,명가 꽈배기 흑당 500g 1개,5000.0,6250.0,3000.0,0.0,0.0,,,
1006387,PC004162,명가 꽈배기 참깨 500g 1개,5000.0,6250.0,3000.0,0.0,0.0,,,
1006376,PC004291,김에 빠진 메밀칩 160g 1개,1700.0,2120.0,3000.0,0.0,0.0,,,
1006375,PC005875,명가 메밀칩 카레맛 160g 1개,1700.0,2120.0,3000.0,0.0,0.0,,,
1006374,PC004212,푸드킹 대파맛 메밀칩 160g 1개,1800.0,2250.0,3000.0,0.0,0.0,,,
1006373,PC005912,양파에 빠진 메밀칩 160g 1개,1700.0,2120.0,3000.0,0.0,0.0,,,
1003829,PC005830,갈릭 새우칩 240g 1개,2800.0,3500.0,3000.0,0.0,0.0,,,
1003828,PC005832,게맛살 새우칩 240g 1개,2800.0,3500.0,3000.0,0.0,0.0,,,
1003827,PC005900,다인푸드 깨분 100% 참기름 1.8L 1개,16200.0,20880.0,3000.0,0.0,0.0,,,
1003826,PC005699,새댁표 고추맛기름 15L 1개,83300.0,109750.0,3000.0,0.0,0.0,,,
1003825,PC005881,영미 고추맛기름 15L 1개,79000.0,100880.0,3000.0,0.0,0.0,,,
1003824,PC005899,다인푸드 통깨 100% 참기름 1.8L 1개,27400.0,34250.0,3000.0,0.0,0.0,,,
1003823,PC005904,후레쉬 오이피클 3kg 1개,3900.0,4880.0,3000.0,0.0,0.0,,,
1003822,01-09-01,갈릭 새우칩 20g 45개,11900.0,14880.0,3000.0,0.0,0.0,,,
1003821,01-09-02,갈릭 새우칩 90g 14개,13900.0,17380.0,3000.0,0.0,0.0,,,
1003820,01-09-04,게맛살 새우칩 20g 45개,11900.0,14880.0,3000.0,0.0,0.0,,,
1003819,20-90-11,광동 썬키스트 감귤주스 1.5L 12개,20200.0,25250.0,3000.0,0.0,0.0,,,
1003818,20-90-01,광동 썬키스트 허니유자 280ml 24개,20700.0,25880.0,3000.0,0.0,0.0,,,
1003817,26-08-02,눈꽃내리는 자스민티 500ml 24개,23400.0,29250.0,3000.0,0.0,0.0,,,
1003816,11-05-00,동원 참치 기획 살코기+고추 90g 60개,82200.0,102750.0,3000.0,0.0,0.0,,,
1003815,81-27,롯데 칸타타 아이스블랙 230ml 50개,29500.0,36880.0,3000.0,0.0,0.0,,,
1003814,15-44,백설 하얀설탕 15kg 1개,20400.0,25500.0,3000.0,0.0,0.0,,,
1003813,26-28-01,봄날의 그린티 500ml 24개,23400.0,29250.0,3000.0,0.0,0.0,,,
1003812,26-28,붉은빛의 우롱티 500ml 24개,23400.0,29250.0,3000.0,0.0,0.0,,,
1003811,08-47,비트 세탁세제 2.7kg 4개,24000.0,30000.0,3000.0,0.0,0.0,,,
1003810,08-52,비트 세탁세제 4.5kg 3개,32900.0,41130.0,3000.0,0.0,0.0,,,
1003809,03-18-09,샘표 양조간장 501 1.7L+양조 500ml 6개,76100.0,95130.0,3000.0,0.0,0.0,,,
